variant,model,id,gold,prediction,confidence,correct,raw
independent_recheck,gpt-5.6-luna,banking-088,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,99,1,"{""label"":""direct_debit_payment_not_recognised"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-182,top_up_limits,top_up_limits,98,1,"{""label"":""top_up_limits"",""confidence"":98}"
evidence_balance,gpt-5.6-luna,banking-049,card_payment_fee_charged,top_up_by_card_charge,44,0,"{""label"":""top_up_by_card_charge"",""confidence"":44}"
evidence_balance,gpt-5.6-luna,banking-206,unable_to_verify_identity,unable_to_verify_identity,99,1,"{""label"":""unable_to_verify_identity"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-022,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,97,1,"{""label"":""balance_not_updated_after_cheque_or_cash_deposit"",""confidence"":97}"
proper_score,gpt-5.6-luna,banking-065,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,99,1,"{""label"":""cash_withdrawal_not_recognised"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-137,passcode_forgotten,passcode_forgotten,99,1,"{""label"":""passcode_forgotten"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-167,terminate_account,terminate_account,99,1,"{""label"":""terminate_account"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-170,top_up_by_bank_transfer_charge,transfer_fee_charged,97,0,"{""label"":""transfer_fee_charged"",""confidence"":97}"
proper_score,gpt-5.6-luna,banking-113,fiat_currency_support,exchange_via_app,96,0,"{""label"":""exchange_via_app"",""confidence"":96}"
evidence_balance,gpt-5.6-luna,banking-226,wrong_amount_of_cash_received,wrong_amount_of_cash_received,98,1,"{""label"":""wrong_amount_of_cash_received"",""confidence"":98}"
independent_recheck,gpt-5.6-luna,banking-092,disposable_card_limits,disposable_card_limits,99,1,"{""label"":""disposable_card_limits"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-140,pending_card_payment,pending_card_payment,99,1,"{""label"":""pending_card_payment"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-164,supported_cards_and_currencies,supported_cards_and_currencies,99,1,"{""label"":""supported_cards_and_currencies"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-196,transfer_into_account,transfer_into_account,99,1,"{""label"":""transfer_into_account"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-203,transfer_timing,transfer_timing,98,1,"{""label"":""transfer_timing"",""confidence"":98}"
proper_score,gpt-5.6-luna,banking-199,transfer_not_received_by_recipient,transfer_not_received_by_recipient,99,1,"{""label"":""transfer_not_received_by_recipient"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-062,cash_withdrawal_charge,cash_withdrawal_charge,99,1,"{""label"":""cash_withdrawal_charge"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-029,cancel_transfer,cancel_transfer,99,1,"{""label"":""cancel_transfer"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-034,card_acceptance,card_acceptance,99,1,"{""label"":""card_acceptance"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-104,exchange_via_app,exchange_via_app,98,1,"{""label"":""exchange_via_app"",""confidence"":98}"
proper_score,gpt-5.6-luna,banking-140,pending_card_payment,pending_card_payment,99,1,"{""label"":""pending_card_payment"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-179,top_up_failed,top_up_failed,94,1,"{""label"":""top_up_failed"",""confidence"":94}"
anchored_scale,gpt-5.6-luna,banking-200,transfer_not_received_by_recipient,pending_transfer,55,0,"{""label"":""pending_transfer"",""confidence"":55}"
proper_score,gpt-5.6-luna,banking-164,supported_cards_and_currencies,supported_cards_and_currencies,99,1,"{""label"":""supported_cards_and_currencies"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-196,transfer_into_account,transfer_into_account,98,1,"{""label"":""transfer_into_account"",""confidence"":98}"
proper_score,gpt-5.6-luna,banking-019,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,98,1,"{""label"":""balance_not_updated_after_bank_transfer"",""confidence"":98}"
independent_recheck,gpt-5.6-luna,banking-149,pending_transfer,balance_not_updated_after_bank_transfer,92,0,"{""label"":""balance_not_updated_after_bank_transfer"",""confidence"":92}"
anchored_scale,gpt-5.6-luna,banking-121,getting_spare_card,getting_spare_card,96,1,"{""label"":""getting_spare_card"",""confidence"":96}"
proper_score,gpt-5.6-luna,banking-133,order_physical_card,country_support,96,0,"{""label"":""country_support"",""confidence"":96}"
evidence_balance,gpt-5.6-luna,banking-118,get_physical_card,change_pin,58,0,"{""label"":""change_pin"",""confidence"":58}"
top_two_mass,gpt-5.6-luna,banking-229,wrong_exchange_rate_for_cash_withdrawal,wrong_exchange_rate_for_cash_withdrawal,99,1,"{""label"":""wrong_exchange_rate_for_cash_withdrawal"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-002,Refund_not_showing_up,Refund_not_showing_up,99,1,"{""label"":""Refund_not_showing_up"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-158,request_refund,request_refund,96,1,"{""label"":""request_refund"",""confidence"":96}"
evidence_balance,gpt-5.6-luna,banking-187,topping_up_by_card,top_up_reverted,88,0,"{""label"":""top_up_reverted"",""confidence"":88}"
independent_recheck,gpt-5.6-luna,banking-188,topping_up_by_card,topping_up_by_card,78,1,"{""label"":""topping_up_by_card"",""confidence"":78}"
evidence_balance,gpt-5.6-luna,banking-046,card_not_working,card_not_working,98,1,"{""label"":""card_not_working"",""confidence"":98}"
evidence_balance,gpt-5.6-luna,banking-091,disposable_card_limits,disposable_card_limits,99,1,"{""label"":""disposable_card_limits"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-070,compromised_card,card_payment_not_recognised,92,0,"{""label"":""card_payment_not_recognised"",""confidence"":92}"
evidence_balance,gpt-5.6-luna,banking-205,unable_to_verify_identity,unable_to_verify_identity,98,1,"{""label"":""unable_to_verify_identity"",""confidence"":98}"
proper_score,gpt-5.6-luna,banking-077,country_support,country_support,99,1,"{""label"":""country_support"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-094,edit_personal_details,edit_personal_details,99,1,"{""label"":""edit_personal_details"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-082,declined_cash_withdrawal,declined_cash_withdrawal,99,1,"{""label"":""declined_cash_withdrawal"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-104,exchange_via_app,exchange_via_app,98,1,"{""label"":""exchange_via_app"",""confidence"":98}"
top_two_mass,gpt-5.6-luna,banking-173,top_up_by_card_charge,top_up_by_card_charge,92,1,"{""label"":""top_up_by_card_charge"",""confidence"":92}"
proper_score,gpt-5.6-luna,banking-190,transaction_charged_twice,transaction_charged_twice,99,1,"{""label"":""transaction_charged_twice"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-083,declined_cash_withdrawal,declined_cash_withdrawal,98,1,"{""label"":""declined_cash_withdrawal"",""confidence"":98}"
evidence_balance,gpt-5.6-luna,banking-002,Refund_not_showing_up,Refund_not_showing_up,99,1,"{""label"":""Refund_not_showing_up"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-170,top_up_by_bank_transfer_charge,transfer_fee_charged,90,0,"{""label"":""transfer_fee_charged"",""confidence"":90}"
proper_score,gpt-5.6-luna,banking-088,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,99,1,"{""label"":""direct_debit_payment_not_recognised"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-220,visa_or_mastercard,visa_or_mastercard,99,1,"{""label"":""visa_or_mastercard"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-115,get_disposable_virtual_card,get_disposable_virtual_card,92,1,"{""label"":""get_disposable_virtual_card"",""confidence"":92}"
independent_recheck,gpt-5.6-luna,banking-055,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,99,1,"{""label"":""card_payment_wrong_exchange_rate"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-025,beneficiary_not_allowed,failed_transfer,70,0,"{""label"":""failed_transfer"",""confidence"":70}"
anchored_scale,gpt-5.6-luna,banking-172,top_up_by_card_charge,top_up_by_card_charge,96,1,"{""label"":""top_up_by_card_charge"",""confidence"":96}"
evidence_balance,gpt-5.6-luna,banking-200,transfer_not_received_by_recipient,pending_transfer,38,0,"{""label"":""pending_transfer"",""confidence"":38}"
independent_recheck,gpt-5.6-luna,banking-187,topping_up_by_card,top_up_reverted,90,0,"{""label"":""top_up_reverted"",""confidence"":90}"
top_two_mass,gpt-5.6-luna,banking-023,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,98,1,"{""label"":""balance_not_updated_after_cheque_or_cash_deposit"",""confidence"":98}"
top_two_mass,gpt-5.6-luna,banking-203,transfer_timing,transfer_timing,92,1,"{""label"":""transfer_timing"",""confidence"":92}"
proper_score,gpt-5.6-luna,banking-212,verify_source_of_funds,verify_source_of_funds,97,1,"{""label"":""verify_source_of_funds"",""confidence"":97}"
independent_recheck,gpt-5.6-luna,banking-007,age_limit,age_limit,99,1,"{""label"":""age_limit"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-164,supported_cards_and_currencies,supported_cards_and_currencies,99,1,"{""label"":""supported_cards_and_currencies"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-041,card_delivery_estimate,card_arrival,58,0,"{""label"":""card_arrival"",""confidence"":58}"
top_two_mass,gpt-5.6-luna,banking-007,age_limit,age_limit,99,1,"{""label"":""age_limit"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-071,compromised_card,card_payment_not_recognised,98,0,"{""label"":""card_payment_not_recognised"",""confidence"":98}"
proper_score,gpt-5.6-luna,banking-068,change_pin,change_pin,99,1,"{""label"":""change_pin"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-214,verify_top_up,verify_top_up,98,1,"{""label"":""verify_top_up"",""confidence"":98}"
top_two_mass,gpt-5.6-luna,banking-217,virtual_card_not_working,virtual_card_not_working,96,1,"{""label"":""virtual_card_not_working"",""confidence"":96}"
evidence_balance,gpt-5.6-luna,banking-134,order_physical_card,card_arrival,62,0,"{""label"":""card_arrival"",""confidence"":62}"
top_two_mass,gpt-5.6-luna,banking-056,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,99,1,"{""label"":""card_payment_wrong_exchange_rate"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-040,card_delivery_estimate,card_delivery_estimate,98,1,"{""label"":""card_delivery_estimate"",""confidence"":98}"
independent_recheck,gpt-5.6-luna,banking-160,reverted_card_payment?,reverted_card_payment?,99,1,"{""label"":""reverted_card_payment?"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-133,order_physical_card,country_support,88,0,"{""label"":""country_support"",""confidence"":88}"
proper_score,gpt-5.6-luna,banking-194,transfer_fee_charged,transfer_fee_charged,88,1,"{""label"":""transfer_fee_charged"",""confidence"":88}"
top_two_mass,gpt-5.6-luna,banking-172,top_up_by_card_charge,top_up_by_card_charge,85,1,"{""label"":""top_up_by_card_charge"",""confidence"":85}"
independent_recheck,gpt-5.6-luna,banking-131,lost_or_stolen_phone,lost_or_stolen_phone,100,1,"{""label"":""lost_or_stolen_phone"",""confidence"":100}"
top_two_mass,gpt-5.6-luna,banking-148,pending_transfer,pending_transfer,98,1,"{""label"":""pending_transfer"",""confidence"":98}"
proper_score,gpt-5.6-luna,banking-005,activate_my_card,activate_my_card,99,1,"{""label"":""activate_my_card"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-151,pin_blocked,pin_blocked,99,1,"{""label"":""pin_blocked"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-203,transfer_timing,transfer_timing,98,1,"{""label"":""transfer_timing"",""confidence"":98}"
proper_score,gpt-5.6-luna,banking-095,edit_personal_details,edit_personal_details,99,1,"{""label"":""edit_personal_details"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-104,exchange_via_app,exchange_via_app,98,1,"{""label"":""exchange_via_app"",""confidence"":98}"
proper_score,gpt-5.6-luna,banking-076,country_support,country_support,99,1,"{""label"":""country_support"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-119,get_physical_card,change_pin,96,0,"{""label"":""change_pin"",""confidence"":96}"
independent_recheck,gpt-5.6-luna,banking-155,receiving_money,verify_source_of_funds,72,0,"{""label"":""verify_source_of_funds"",""confidence"":72}"
anchored_scale,gpt-5.6-luna,banking-095,edit_personal_details,edit_personal_details,99,1,"{""label"":""edit_personal_details"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-037,card_arrival,card_arrival,93,1,"{""label"":""card_arrival"",""confidence"":93}"
evidence_balance,gpt-5.6-luna,banking-113,fiat_currency_support,exchange_via_app,88,0,"{""label"":""exchange_via_app"",""confidence"":88}"
independent_recheck,gpt-5.6-luna,banking-043,card_linking,card_linking,99,1,"{""label"":""card_linking"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-185,top_up_reverted,top_up_reverted,99,1,"{""label"":""top_up_reverted"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-103,exchange_via_app,exchange_via_app,78,1,"{""label"":""exchange_via_app"",""confidence"":78}"
proper_score,gpt-5.6-luna,banking-109,failed_transfer,failed_transfer,48,1,"{""label"":""failed_transfer"",""confidence"":48}"
proper_score,gpt-5.6-luna,banking-230,wrong_exchange_rate_for_cash_withdrawal,wrong_exchange_rate_for_cash_withdrawal,99,1,"{""label"":""wrong_exchange_rate_for_cash_withdrawal"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-023,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,99,1,"{""label"":""balance_not_updated_after_cheque_or_cash_deposit"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-197,transfer_into_account,transfer_into_account,92,1,"{""label"":""transfer_into_account"",""confidence"":92}"
independent_recheck,gpt-5.6-luna,banking-074,contactless_not_working,contactless_not_working,97,1,"{""label"":""contactless_not_working"",""confidence"":97}"
top_two_mass,gpt-5.6-luna,banking-022,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,92,1,"{""label"":""balance_not_updated_after_cheque_or_cash_deposit"",""confidence"":92}"
proper_score,gpt-5.6-luna,banking-025,beneficiary_not_allowed,failed_transfer,96,0,"{""label"":""failed_transfer"",""confidence"":96}"
proper_score,gpt-5.6-luna,banking-220,visa_or_mastercard,visa_or_mastercard,99,1,"{""label"":""visa_or_mastercard"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-125,getting_virtual_card,getting_virtual_card,99,1,"{""label"":""getting_virtual_card"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-077,country_support,country_support,100,1,"{""label"":""country_support"",""confidence"":100}"
top_two_mass,gpt-5.6-luna,banking-209,verify_my_identity,verify_my_identity,98,1,"{""label"":""verify_my_identity"",""confidence"":98}"
anchored_scale,gpt-5.6-luna,banking-193,transfer_fee_charged,transfer_fee_charged,99,1,"{""label"":""transfer_fee_charged"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-076,country_support,country_support,98,1,"{""label"":""country_support"",""confidence"":98}"
anchored_scale,gpt-5.6-luna,banking-074,contactless_not_working,contactless_not_working,98,1,"{""label"":""contactless_not_working"",""confidence"":98}"
anchored_scale,gpt-5.6-luna,banking-008,age_limit,age_limit,98,1,"{""label"":""age_limit"",""confidence"":98}"
top_two_mass,gpt-5.6-luna,banking-100,exchange_rate,exchange_rate,97,1,"{""label"":""exchange_rate"",""confidence"":97}"
top_two_mass,gpt-5.6-luna,banking-157,request_refund,request_refund,85,1,"{""label"":""request_refund"",""confidence"":85}"
evidence_balance,gpt-5.6-luna,banking-125,getting_virtual_card,getting_virtual_card,99,1,"{""label"":""getting_virtual_card"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-008,age_limit,age_limit,97,1,"{""label"":""age_limit"",""confidence"":97}"
top_two_mass,gpt-5.6-luna,banking-215,verify_top_up,verify_top_up,93,1,"{""label"":""verify_top_up"",""confidence"":93}"
evidence_balance,gpt-5.6-luna,banking-107,extra_charge_on_statement,extra_charge_on_statement,99,1,"{""label"":""extra_charge_on_statement"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-176,top_up_by_cash_or_cheque,top_up_by_cash_or_cheque,99,1,"{""label"":""top_up_by_cash_or_cheque"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-064,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,99,1,"{""label"":""cash_withdrawal_not_recognised"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-220,visa_or_mastercard,visa_or_mastercard,100,1,"{""label"":""visa_or_mastercard"",""confidence"":100}"
top_two_mass,gpt-5.6-luna,banking-224,why_verify_identity,why_verify_identity,98,1,"{""label"":""why_verify_identity"",""confidence"":98}"
evidence_balance,gpt-5.6-luna,banking-070,compromised_card,card_payment_not_recognised,96,0,"{""label"":""card_payment_not_recognised"",""confidence"":96}"
anchored_scale,gpt-5.6-luna,banking-221,visa_or_mastercard,visa_or_mastercard,99,1,"{""label"":""visa_or_mastercard"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-214,verify_top_up,verify_top_up,99,1,"{""label"":""verify_top_up"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-106,extra_charge_on_statement,extra_charge_on_statement,99,1,"{""label"":""extra_charge_on_statement"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-014,atm_support,atm_support,99,1,"{""label"":""atm_support"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-148,pending_transfer,pending_transfer,99,1,"{""label"":""pending_transfer"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-203,transfer_timing,transfer_timing,97,1,"{""label"":""transfer_timing"",""confidence"":97}"
independent_recheck,gpt-5.6-luna,banking-025,beneficiary_not_allowed,failed_transfer,94,0,"{""label"":""failed_transfer"",""confidence"":94}"
independent_recheck,gpt-5.6-luna,banking-065,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,100,1,"{""label"":""cash_withdrawal_not_recognised"",""confidence"":100}"
evidence_balance,gpt-5.6-luna,banking-011,apple_pay_or_google_pay,apple_pay_or_google_pay,99,1,"{""label"":""apple_pay_or_google_pay"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-182,top_up_limits,top_up_limits,98,1,"{""label"":""top_up_limits"",""confidence"":98}"
anchored_scale,gpt-5.6-luna,banking-031,card_about_to_expire,card_about_to_expire,99,1,"{""label"":""card_about_to_expire"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-176,top_up_by_cash_or_cheque,top_up_by_cash_or_cheque,99,1,"{""label"":""top_up_by_cash_or_cheque"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-110,failed_transfer,transfer_timing,12,0,"{""label"":""transfer_timing"",""confidence"":12}"
independent_recheck,gpt-5.6-luna,banking-223,why_verify_identity,why_verify_identity,99,1,"{""label"":""why_verify_identity"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-226,wrong_amount_of_cash_received,wrong_amount_of_cash_received,99,1,"{""label"":""wrong_amount_of_cash_received"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-218,virtual_card_not_working,virtual_card_not_working,99,1,"{""label"":""virtual_card_not_working"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-116,get_disposable_virtual_card,get_disposable_virtual_card,99,1,"{""label"":""get_disposable_virtual_card"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-191,transaction_charged_twice,transaction_charged_twice,78,1,"{""label"":""transaction_charged_twice"",""confidence"":78}"
independent_recheck,gpt-5.6-luna,banking-146,pending_top_up,pending_top_up,99,1,"{""label"":""pending_top_up"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-016,automatic_top_up,automatic_top_up,99,1,"{""label"":""automatic_top_up"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-134,order_physical_card,card_arrival,58,0,"{""label"":""card_arrival"",""confidence"":58}"
anchored_scale,gpt-5.6-luna,banking-160,reverted_card_payment?,reverted_card_payment?,99,1,"{""label"":""reverted_card_payment?"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-194,transfer_fee_charged,transfer_fee_charged,96,1,"{""label"":""transfer_fee_charged"",""confidence"":96}"
proper_score,gpt-5.6-luna,banking-047,card_not_working,card_not_working,97,1,"{""label"":""card_not_working"",""confidence"":97}"
evidence_balance,gpt-5.6-luna,banking-079,declined_card_payment,declined_card_payment,95,1,"{""label"":""declined_card_payment"",""confidence"":95}"
top_two_mass,gpt-5.6-luna,banking-214,verify_top_up,verify_top_up,98,1,"{""label"":""verify_top_up"",""confidence"":98}"
proper_score,gpt-5.6-luna,banking-152,pin_blocked,passcode_forgotten,72,0,"{""label"":""passcode_forgotten"",""confidence"":72}"
top_two_mass,gpt-5.6-luna,banking-152,pin_blocked,passcode_forgotten,58,0,"{""label"":""passcode_forgotten"",""confidence"":58}"
evidence_balance,gpt-5.6-luna,banking-053,card_payment_not_recognised,card_payment_not_recognised,88,1,"{""label"":""card_payment_not_recognised"",""confidence"":88}"
evidence_balance,gpt-5.6-luna,banking-074,contactless_not_working,contactless_not_working,96,1,"{""label"":""contactless_not_working"",""confidence"":96}"
evidence_balance,gpt-5.6-luna,banking-082,declined_cash_withdrawal,declined_cash_withdrawal,99,1,"{""label"":""declined_cash_withdrawal"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-131,lost_or_stolen_phone,lost_or_stolen_phone,100,1,"{""label"":""lost_or_stolen_phone"",""confidence"":100}"
proper_score,gpt-5.6-luna,banking-098,exchange_charge,exchange_charge,96,1,"{""label"":""exchange_charge"",""confidence"":96}"
top_two_mass,gpt-5.6-luna,banking-095,edit_personal_details,edit_personal_details,99,1,"{""label"":""edit_personal_details"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-110,failed_transfer,transfer_timing,15,0,"{""label"":""transfer_timing"",""confidence"":15}"
anchored_scale,gpt-5.6-luna,banking-190,transaction_charged_twice,transaction_charged_twice,99,1,"{""label"":""transaction_charged_twice"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-130,lost_or_stolen_phone,lost_or_stolen_phone,99,1,"{""label"":""lost_or_stolen_phone"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-145,pending_top_up,pending_top_up,99,1,"{""label"":""pending_top_up"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-004,activate_my_card,activate_my_card,99,1,"{""label"":""activate_my_card"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-175,top_up_by_cash_or_cheque,top_up_by_cash_or_cheque,99,1,"{""label"":""top_up_by_cash_or_cheque"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-176,top_up_by_cash_or_cheque,top_up_by_cash_or_cheque,99,1,"{""label"":""top_up_by_cash_or_cheque"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-013,atm_support,atm_support,99,1,"{""label"":""atm_support"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-133,order_physical_card,country_support,98,0,"{""label"":""country_support"",""confidence"":98}"
anchored_scale,gpt-5.6-luna,banking-224,why_verify_identity,why_verify_identity,99,1,"{""label"":""why_verify_identity"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-008,age_limit,age_limit,98,1,"{""label"":""age_limit"",""confidence"":98}"
proper_score,gpt-5.6-luna,banking-058,card_swallowed,card_swallowed,99,1,"{""label"":""card_swallowed"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-206,unable_to_verify_identity,unable_to_verify_identity,98,1,"{""label"":""unable_to_verify_identity"",""confidence"":98}"
evidence_balance,gpt-5.6-luna,banking-035,card_acceptance,card_acceptance,98,1,"{""label"":""card_acceptance"",""confidence"":98}"
evidence_balance,gpt-5.6-luna,banking-211,verify_source_of_funds,verify_source_of_funds,99,1,"{""label"":""verify_source_of_funds"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-064,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,99,1,"{""label"":""cash_withdrawal_not_recognised"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-116,get_disposable_virtual_card,get_disposable_virtual_card,99,1,"{""label"":""get_disposable_virtual_card"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-070,compromised_card,card_payment_not_recognised,97,0,"{""label"":""card_payment_not_recognised"",""confidence"":97}"
anchored_scale,gpt-5.6-luna,banking-134,order_physical_card,country_support,96,0,"{""label"":""country_support"",""confidence"":96}"
evidence_balance,gpt-5.6-luna,banking-217,virtual_card_not_working,virtual_card_not_working,98,1,"{""label"":""virtual_card_not_working"",""confidence"":98}"
top_two_mass,gpt-5.6-luna,banking-038,card_arrival,card_arrival,55,1,"{""label"":""card_arrival"",""confidence"":55}"
anchored_scale,gpt-5.6-luna,banking-161,reverted_card_payment?,reverted_card_payment?,99,1,"{""label"":""reverted_card_payment?"",""confidence"":99}"
evidence_balance,gpt-5.6-luna,banking-061,cash_withdrawal_charge,cash_withdrawal_charge,99,1,"{""label"":""cash_withdrawal_charge"",""confidence"":99}"
