task,model,id,gold,prediction,confidence,correct,raw
banking77,gpt-4.1-nano,banking-161,reverted_card_payment?,reverted_card_payment?,85,1,"{   ""label"": ""reverted_card_payment?"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-192,transaction_charged_twice,transaction_charged_twice,95,1,"{   ""label"": ""transaction_charged_twice"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-016,automatic_top_up,automatic_top_up,95,1,"{   ""label"": ""automatic_top_up"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-201,transfer_not_received_by_recipient,transfer_not_received_by_recipient,85,1,"{   ""label"": ""transfer_not_received_by_recipient"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-227,wrong_amount_of_cash_received,declined_cash_withdrawal,85,0,"{   ""label"": ""declined_cash_withdrawal"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-229,wrong_exchange_rate_for_cash_withdrawal,exchange_rate,95,0,"{   ""label"": ""exchange_rate"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-194,transfer_fee_charged,transfer_not_received_by_recipient,85,0,"{   ""label"": ""transfer_not_received_by_recipient"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-211,verify_source_of_funds,verify_source_of_funds,95,1,"{   ""label"": ""verify_source_of_funds"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-025,beneficiary_not_allowed,failed_transfer,95,0,"{   ""label"": ""failed_transfer"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-134,order_physical_card,card_delivery_estimate,80,0,"{   ""label"": ""card_delivery_estimate"",   ""confidence"": 80 }"
banking77,gpt-4.1-nano,banking-109,failed_transfer,failed_transfer,85,1,"{   ""label"": ""failed_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-040,card_delivery_estimate,card_delivery_estimate,85,1,"{   ""label"": ""card_delivery_estimate"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-089,direct_debit_payment_not_recognised,request_refund,85,0,"{   ""label"": ""request_refund"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-202,transfer_timing,transfer_timing,0,1,"{   ""label"": ""transfer_timing"",   ""confidence"": 0 }"
banking77,gpt-4.1-nano,banking-001,Refund_not_showing_up,Refund_not_showing_up,95,1,"{   ""label"": ""Refund_not_showing_up"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-039,card_arrival,card_delivery_estimate,85,0,"{   ""label"": ""card_delivery_estimate"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-101,exchange_rate,exchange_rate,95,1,"{   ""label"": ""exchange_rate"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-072,compromised_card,compromised_card,95,1,"{   ""label"": ""compromised_card"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-179,top_up_failed,top_up_failed,90,1,"{   ""label"": ""top_up_failed"",   ""confidence"": 90 }"
banking77,gpt-4.1-nano,banking-077,country_support,country_support,95,1,"{   ""label"": ""country_support"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-028,cancel_transfer,cancel_transfer,85,1,"{   ""label"": ""cancel_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-111,failed_transfer,failed_transfer,95,1,"{   ""label"": ""failed_transfer"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-119,get_physical_card,change_pin,95,0,"{   ""label"": ""change_pin"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-054,card_payment_not_recognised,reverted_card_payment?,70,0,"{   ""label"": ""reverted_card_payment?"",   ""confidence"": 70 }"
banking77,gpt-4.1-nano,banking-011,apple_pay_or_google_pay,apple_pay_or_google_pay,95,1,"{   ""label"": ""apple_pay_or_google_pay"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-067,change_pin,change_pin,95,1,"{   ""label"": ""change_pin"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-151,pin_blocked,pin_blocked,95,1,"{   ""label"": ""pin_blocked"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-145,pending_top_up,pending_top_up,95,1,"{""label"": ""pending_top_up"", ""confidence"": 95}"
banking77,gpt-4.1-nano,banking-197,transfer_into_account,top_up_by_bank_transfer,85,0,"{   ""label"": ""top_up_by_bank_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-009,age_limit,verify_my_identity,70,0,"{   ""label"": ""verify_my_identity"",   ""confidence"": 70 }"
banking77,gpt-4.1-nano,banking-159,request_refund,request_refund,95,1,"{   ""label"": ""request_refund"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-034,card_acceptance,card_acceptance,95,1,"{   ""label"": ""card_acceptance"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-071,compromised_card,compromised_card,95,1,"{   ""label"": ""compromised_card"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-037,card_arrival,getting_spare_card,85,0,"{   ""label"": ""getting_spare_card"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-029,cancel_transfer,cancel_transfer,100,1,"{   ""label"": ""cancel_transfer"",   ""confidence"": 100 }"
banking77,gpt-4.1-nano,banking-069,change_pin,change_pin,95,1,"{   ""label"": ""change_pin"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-060,card_swallowed,card_swallowed,95,1,"{   ""label"": ""card_swallowed"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-196,transfer_into_account,top_up_by_bank_transfer_charge,70,0,"{   ""label"": ""top_up_by_bank_transfer_charge"",   ""confidence"": 70 }"
banking77,gpt-4.1-nano,banking-128,lost_or_stolen_card,card_location,0,0,"{   ""label"": ""card_location"",   ""confidence"": 0 }"
banking77,gpt-4.1-nano,banking-112,fiat_currency_support,fiat_currency_support,95,1,"{   ""label"": ""fiat_currency_support"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-172,top_up_by_card_charge,top_up_by_card_charge,85,1,"{   ""label"": ""top_up_by_card_charge"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-083,declined_cash_withdrawal,cash_withdrawal_not_recognised,85,0,"{   ""label"": ""cash_withdrawal_not_recognised"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-086,declined_transfer,declined_card_payment,95,0,"{   ""label"": ""declined_card_payment"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-020,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,85,1,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-087,declined_transfer,declined_transfer,95,1,"{   ""label"": ""declined_transfer"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-147,pending_top_up,pending_top_up,95,1,"{   ""label"": ""pending_top_up"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-042,card_delivery_estimate,order_physical_card,85,0,"{   ""label"": ""order_physical_card"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-125,getting_virtual_card,get_disposable_virtual_card,95,0,"{   ""label"": ""get_disposable_virtual_card"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-061,cash_withdrawal_charge,cash_withdrawal_charge,95,1,"{   ""label"": ""cash_withdrawal_charge"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-053,card_payment_not_recognised,card_payment_wrong_exchange_rate,85,0,"{   ""label"": ""card_payment_wrong_exchange_rate"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-187,topping_up_by_card,top_up_failed,80,0,"{   ""label"": ""top_up_failed"",   ""confidence"": 80 }"
banking77,gpt-4.1-nano,banking-051,card_payment_fee_charged,extra_charge_on_statement,85,0,"{   ""label"": ""extra_charge_on_statement"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-154,receiving_money,receiving_money,95,1,"{   ""label"": ""receiving_money"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-049,card_payment_fee_charged,card_payment_fee_charged,85,1,"{   ""label"": ""card_payment_fee_charged"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-103,exchange_via_app,exchange_rate,85,0,"{   ""label"": ""exchange_rate"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-216,verify_top_up,verify_top_up,85,1,"{   ""label"": ""verify_top_up"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-073,contactless_not_working,contactless_not_working,95,1,"{   ""label"": ""contactless_not_working"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-203,transfer_timing,balance_not_updated_after_bank_transfer,85,0,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-219,virtual_card_not_working,card_not_working,95,0,"{   ""label"": ""card_not_working"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-070,compromised_card,compromised_card,85,1,"{   ""label"": ""compromised_card"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-078,country_support,country_support,95,1,"{   ""label"": ""country_support"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-120,get_physical_card,change_pin,95,0,"{   ""label"": ""change_pin"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-184,top_up_reverted,request_refund,95,0,"{   ""label"": ""request_refund"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-026,beneficiary_not_allowed,reverted_card_payment?,20,0,"{   ""label"": ""reverted_card_payment?"",   ""confidence"": 20 }"
banking77,gpt-4.1-nano,banking-170,top_up_by_bank_transfer_charge,transfer_fee_charged,95,0,"{   ""label"": ""transfer_fee_charged"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-222,visa_or_mastercard,supported_cards_and_currencies,85,0,"{   ""label"": ""supported_cards_and_currencies"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-116,get_disposable_virtual_card,get_disposable_virtual_card,85,1,"{""label"": ""get_disposable_virtual_card"", ""confidence"": 85}"
banking77,gpt-4.1-nano,banking-175,top_up_by_cash_or_cheque,top_up_by_cash_or_cheque,90,1,"{   ""label"": ""top_up_by_cash_or_cheque"",   ""confidence"": 90 }"
banking77,gpt-4.1-nano,banking-168,terminate_account,terminate_account,85,1,"{""label"": ""terminate_account"", ""confidence"": 85}"
banking77,gpt-4.1-nano,banking-098,exchange_charge,exchange_rate,85,0,"{   ""label"": ""exchange_rate"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-041,card_delivery_estimate,card_arrival,85,0,"{   ""label"": ""card_arrival"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-019,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,85,1,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-022,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,85,0,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-057,card_payment_wrong_exchange_rate,exchange_rate,95,0,"{   ""label"": ""exchange_rate"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-218,virtual_card_not_working,virtual_card_not_working,95,1,"{   ""label"": ""virtual_card_not_working"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-198,transfer_into_account,top_up_by_bank_transfer_charge,80,0,"{   ""label"": ""top_up_by_bank_transfer_charge"",   ""confidence"": 80 }"
banking77,gpt-4.1-nano,banking-106,extra_charge_on_statement,extra_charge_on_statement,85,1,"{   ""label"": ""extra_charge_on_statement"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-200,transfer_not_received_by_recipient,pending_transfer,85,0,"{   ""label"": ""pending_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-002,Refund_not_showing_up,Refund_not_showing_up,85,1,"{   ""label"": ""Refund_not_showing_up"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-193,transfer_fee_charged,transfer_fee_charged,95,1,"{   ""label"": ""transfer_fee_charged"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-015,atm_support,atm_support,95,1,"{   ""label"": ""atm_support"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-122,getting_spare_card,getting_spare_card,85,1,"{   ""label"": ""getting_spare_card"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-035,card_acceptance,card_acceptance,85,1,"{   ""label"": ""card_acceptance"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-140,pending_card_payment,pending_card_payment,95,1,"{   ""label"": ""pending_card_payment"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-056,card_payment_wrong_exchange_rate,exchange_rate,95,0,"{   ""label"": ""exchange_rate"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-162,reverted_card_payment?,request_refund,85,0,"{   ""label"": ""request_refund"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-036,card_acceptance,card_acceptance,95,1,"{   ""label"": ""card_acceptance"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-114,fiat_currency_support,fiat_currency_support,95,1,"{   ""label"": ""fiat_currency_support"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-094,edit_personal_details,edit_personal_details,85,1,"{   ""label"": ""edit_personal_details"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-181,top_up_limits,top_up_limits,95,1,"{   ""label"": ""top_up_limits"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-066,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,85,1,"{   ""label"": ""cash_withdrawal_not_recognised"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-092,disposable_card_limits,get_disposable_virtual_card,85,0,"{   ""label"": ""get_disposable_virtual_card"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-144,pending_cash_withdrawal,declined_card_payment,85,0,"{   ""label"": ""declined_card_payment"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-012,apple_pay_or_google_pay,apple_pay_or_google_pay,85,1,"{   ""label"": ""apple_pay_or_google_pay"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-195,transfer_fee_charged,transfer_fee_charged,95,1,"{   ""label"": ""transfer_fee_charged"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-046,card_not_working,card_not_working,85,1,"{   ""label"": ""card_not_working"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-231,wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,85,0,"{   ""label"": ""cash_withdrawal_charge"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-052,card_payment_not_recognised,reverted_card_payment?,70,0,"{   ""label"": ""reverted_card_payment?"",   ""confidence"": 70 }"
banking77,gpt-4.1-nano,banking-191,transaction_charged_twice,pending_transfer,85,0,"{   ""label"": ""pending_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-045,card_linking,card_arrival,85,0,"{""label"": ""card_arrival"", ""confidence"": 85}"
banking77,gpt-4.1-nano,banking-150,pending_transfer,pending_transfer,85,1,"{   ""label"": ""pending_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-166,terminate_account,terminate_account,100,1,"{   ""label"": ""terminate_account"",   ""confidence"": 100 }"
banking77,gpt-4.1-nano,banking-005,activate_my_card,card_linking,85,0,"{   ""label"": ""card_linking"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-058,card_swallowed,card_swallowed,85,1,"{   ""label"": ""card_swallowed"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-213,verify_source_of_funds,verify_source_of_funds,85,1,"{   ""label"": ""verify_source_of_funds"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-212,verify_source_of_funds,getting_spare_card,10,0,"{   ""label"": ""getting_spare_card"",   ""confidence"": 10 }"
banking77,gpt-4.1-nano,banking-208,verify_my_identity,verify_my_identity,95,1,"{   ""label"": ""verify_my_identity"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-130,lost_or_stolen_phone,lost_or_stolen_phone,95,1,"{   ""label"": ""lost_or_stolen_phone"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-167,terminate_account,terminate_account,85,1,"{   ""label"": ""terminate_account"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-024,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,95,0,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-176,top_up_by_cash_or_cheque,top_up_by_cash_or_cheque,95,1,"{   ""label"": ""top_up_by_cash_or_cheque"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-044,card_linking,getting_spare_card,85,0,"{   ""label"": ""getting_spare_card"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-136,passcode_forgotten,change_pin,95,0,"{   ""label"": ""change_pin"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-204,transfer_timing,pending_transfer,85,0,"{   ""label"": ""pending_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-207,unable_to_verify_identity,unable_to_verify_identity,100,1,"{   ""label"": ""unable_to_verify_identity"",   ""confidence"": 100 }"
banking77,gpt-4.1-nano,banking-190,transaction_charged_twice,transaction_charged_twice,90,1,"{   ""label"": ""transaction_charged_twice"",   ""confidence"": 90 }"
banking77,gpt-4.1-nano,banking-149,pending_transfer,balance_not_updated_after_bank_transfer,85,0,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-173,top_up_by_card_charge,top_up_by_card_charge,85,1,"{   ""label"": ""top_up_by_card_charge"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-214,verify_top_up,verify_top_up,95,1,"{   ""label"": ""verify_top_up"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-138,passcode_forgotten,passcode_forgotten,85,1,"{""label"": ""passcode_forgotten"", ""confidence"": 85}"
banking77,gpt-4.1-nano,banking-038,card_arrival,card_delivery_estimate,80,0,"{   ""label"": ""card_delivery_estimate"",   ""confidence"": 80 }"
banking77,gpt-4.1-nano,banking-033,card_about_to_expire,card_about_to_expire,95,1,"{   ""label"": ""card_about_to_expire"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-153,pin_blocked,change_pin,95,0,"{""label"": ""change_pin"", ""confidence"": 95}"
banking77,gpt-4.1-nano,banking-177,top_up_by_cash_or_cheque,top_up_by_cash_or_cheque,95,1,"{   ""label"": ""top_up_by_cash_or_cheque"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-215,verify_top_up,verify_top_up,95,1,"{   ""label"": ""verify_top_up"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-126,getting_virtual_card,getting_virtual_card,95,1,"{   ""label"": ""getting_virtual_card"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-224,why_verify_identity,unable_to_verify_identity,95,0,"{   ""label"": ""unable_to_verify_identity"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-220,visa_or_mastercard,supported_cards_and_currencies,95,0,"{   ""label"": ""supported_cards_and_currencies"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-157,request_refund,reverted_card_payment?,85,0,"{   ""label"": ""reverted_card_payment?"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-093,disposable_card_limits,get_disposable_virtual_card,85,0,"{   ""label"": ""get_disposable_virtual_card"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-075,contactless_not_working,contactless_not_working,95,1,"{   ""label"": ""contactless_not_working"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-055,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,95,1,"{""label"": ""card_payment_wrong_exchange_rate"", ""confidence"": 95}"
banking77,gpt-4.1-nano,banking-064,cash_withdrawal_not_recognised,atm_support,85,0,"{   ""label"": ""atm_support"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-032,card_about_to_expire,card_about_to_expire,95,1,"{   ""label"": ""card_about_to_expire"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-084,declined_cash_withdrawal,declined_cash_withdrawal,95,1,"{   ""label"": ""declined_cash_withdrawal"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-008,age_limit,age_limit,85,1,"{   ""label"": ""age_limit"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-021,balance_not_updated_after_bank_transfer,pending_transfer,95,0,"{   ""label"": ""pending_transfer"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-127,lost_or_stolen_card,getting_spare_card,85,0,"{   ""label"": ""getting_spare_card"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-023,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,70,0,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 70 }"
banking77,gpt-4.1-nano,banking-152,pin_blocked,terminate_account,85,0,"{   ""label"": ""terminate_account"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-099,exchange_charge,exchange_rate,85,0,"{   ""label"": ""exchange_rate"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-141,pending_card_payment,pending_card_payment,95,1,"{   ""label"": ""pending_card_payment"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-017,automatic_top_up,automatic_top_up,85,1,"{   ""label"": ""automatic_top_up"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-185,top_up_reverted,top_up_reverted,95,1,"{   ""label"": ""top_up_reverted"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-013,atm_support,atm_support,95,1,"{   ""label"": ""atm_support"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-068,change_pin,change_pin,95,1,"{   ""label"": ""change_pin"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-171,top_up_by_bank_transfer_charge,transfer_fee_charged,95,0,"{   ""label"": ""transfer_fee_charged"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-010,apple_pay_or_google_pay,top_up_by_card_charge,70,0,"{   ""label"": ""top_up_by_card_charge"",   ""confidence"": 70 }"
banking77,gpt-4.1-nano,banking-043,card_linking,card_linking,95,1,"{   ""label"": ""card_linking"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-143,pending_cash_withdrawal,pending_cash_withdrawal,95,1,"{   ""label"": ""pending_cash_withdrawal"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-030,cancel_transfer,cancel_transfer,95,1,"{   ""label"": ""cancel_transfer"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-115,get_disposable_virtual_card,get_disposable_virtual_card,85,1,"{   ""label"": ""get_disposable_virtual_card"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-059,card_swallowed,atm_support,85,0,"{   ""label"": ""atm_support"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-139,pending_card_payment,pending_transfer,85,0,"{   ""label"": ""pending_transfer"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-065,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,95,1,"{   ""label"": ""cash_withdrawal_not_recognised"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-188,topping_up_by_card,top_up_by_bank_transfer_charge,10,0,"{   ""label"": ""top_up_by_bank_transfer_charge"",   ""confidence"": 10 }"
banking77,gpt-4.1-nano,banking-183,top_up_limits,top_up_limits,85,1,"{   ""label"": ""top_up_limits"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-062,cash_withdrawal_charge,cash_withdrawal_charge,95,1,"{   ""label"": ""cash_withdrawal_charge"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-108,extra_charge_on_statement,extra_charge_on_statement,85,1,"{   ""label"": ""extra_charge_on_statement"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-158,request_refund,Request_refund,95,0,"{   ""label"": ""Request_refund"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-206,unable_to_verify_identity,unable_to_verify_identity,100,1,"{   ""label"": ""unable_to_verify_identity"",   ""confidence"": 100 }"
