model,id,gold,prediction,code,correct,stated_confidence,token_logprob,token_probability,top_logprobs_json,raw
gpt-5.6-luna,banking-331,card_linking,card_linking,L,1,98,0.0,1.0,"[{""token"":""L"",""logprob"":0.0}]",L 98
gpt-5.6-luna,banking-483,extra_charge_on_statement,extra_charge_on_statement,7,1,99,-3.814697265625e-06,0.9999961853100103,"[{""token"":""7"",""logprob"":-3.814697265625e-06}]",7 99
gpt-5.6-luna,banking-499,get_disposable_virtual_card,get_disposable_virtual_card,h,1,98,-3.814697265625e-06,0.9999961853100103,"[{""token"":""h"",""logprob"":-3.814697265625e-06}]",h 98
gpt-5.6-luna,banking-506,get_physical_card,get_physical_card,=,1,78,-0.04666900634765625,0.9544032467319016,"[{""token"":""="",""logprob"":-0.04666900634765625},{""token"":""-"",""logprob"":-3.2209548950195312}]",= 78
gpt-5.6-luna,banking-493,fiat_currency_support,fiat_currency_support,!,1,78,-5.7220458984375e-05,0.9999427811780749,"[{""token"":""!"",""logprob"":-5.7220458984375e-05}]",! 78
gpt-5.6-luna,banking-578,pending_transfer,pending_transfer,l,1,98,0.0,1.0,"[{""token"":""l"",""logprob"":0.0}]",l 98
gpt-5.6-luna,banking-024,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,a,1,95,0.0,1.0,"[{""token"":""a"",""logprob"":0.0}]",a 95
gpt-5.6-luna,banking-512,getting_spare_card,getting_spare_card,i,1,55,-2.288818359375e-05,0.9999771120783387,"[{""token"":""i"",""logprob"":-2.288818359375e-05}]",i 55
gpt-5.6-luna,banking-028,cancel_transfer,cancel_transfer,*,1,85,0.0,1.0,"[{""token"":""*"",""logprob"":0.0}]",* 85
gpt-5.6-luna,banking-216,verify_top_up,verify_top_up,8,1,96,-3.814697265625e-06,0.9999961853100103,"[{""token"":""8"",""logprob"":-3.814697265625e-06}]",8 96
gpt-5.6-luna,banking-346,card_payment_fee_charged,card_payment_fee_charged,Q,1,99,-3.814697265625e-06,0.9999961853100103,"[{""token"":""Q"",""logprob"":-3.814697265625e-06}]",Q 99
gpt-5.6-luna,banking-270,automatic_top_up,top_up_limits,q,0,99,-0.0049896240234375,0.995022803472408,"[{""token"":""q"",""logprob"":-0.0049896240234375}]",q 99
gpt-5.6-luna,banking-227,wrong_amount_of_cash_received,declined_cash_withdrawal,P,0,85,-3.814697265625e-06,0.9999961853100103,"[{""token"":""P"",""logprob"":-3.814697265625e-06}]",P 85
gpt-5.6-luna,banking-521,getting_virtual_card,getting_virtual_card,!,1,98,0.0,1.0,"[{""token"":""!"",""logprob"":0.0}]",! 98
gpt-5.6-luna,banking-757,wrong_amount_of_cash_received,wrong_amount_of_cash_received,R,1,99,0.0,1.0,"[{""token"":""R"",""logprob"":0.0}]",R 99
gpt-5.6-luna,banking-699,transfer_not_received_by_recipient,transfer_not_received_by_recipient,@,1,72,-1.52587890625e-05,0.9999847413273523,"[{""token"":""@"",""logprob"":-1.52587890625e-05}]",@ 72
gpt-5.6-luna,banking-310,card_acceptance,card_acceptance,u,1,96,3.814697265625e-06,1.0000038147045416,"[{""token"":""u"",""logprob"":3.814697265625e-06}]",u 96
gpt-5.6-luna,banking-700,transfer_not_received_by_recipient,transfer_not_received_by_recipient,r,1,96,-7.62939453125e-06,0.9999923706345725,"[{""token"":""r"",""logprob"":-7.62939453125e-06}]",r 96
gpt-5.6-luna,banking-240,activate_my_card,activate_my_card,=,1,99,0.0,1.0,"[{""token"":""="",""logprob"":0.0}]",= 99
gpt-5.6-luna,banking-536,lost_or_stolen_phone,lost_or_stolen_phone,-,1,99,-1.9073486328125e-05,0.9999809266955697,"[{""token"":""-"",""logprob"":-1.9073486328125e-05}]",- 99
gpt-5.6-luna,banking-195,transfer_fee_charged,transfer_fee_charged,h,1,98,0.0,1.0,"[{""token"":""h"",""logprob"":0.0}]",h 98
gpt-5.6-luna,banking-399,compromised_card,card_payment_not_recognised,@,0,55,-0.0305328369140625,0.9699285820827892,"[{""token"":""@"",""logprob"":-0.0305328369140625},{""token"":""$"",""logprob"":-3.519001007080078}]",@ 55
gpt-5.6-luna,banking-181,top_up_limits,top_up_limits,a,1,99,0.0,1.0,"[{""token"":""a"",""logprob"":0.0}]",a 99
gpt-5.6-luna,banking-367,card_swallowed,card_swallowed,*,1,100,-3.814697265625e-06,0.9999961853100103,"[{""token"":""*"",""logprob"":-3.814697265625e-06}]",* 100
gpt-5.6-luna,banking-387,change_pin,change_pin,:,1,99,0.0,1.0,"[{""token"":"":"",""logprob"":0.0}]",: 99
gpt-5.6-luna,banking-561,pending_cash_withdrawal,pending_cash_withdrawal,R,1,99,0.0,1.0,"[{""token"":""R"",""logprob"":0.0}]",R 99
gpt-5.6-luna,banking-631,top_up_by_card_charge,top_up_by_card_charge,:,1,99,-3.814697265625e-06,0.9999961853100103,"[{""token"":"":"",""logprob"":-3.814697265625e-06}]",: 99
gpt-5.6-luna,banking-207,unable_to_verify_identity,unable_to_verify_identity,+,1,96,-0.0599517822265625,0.9418099444679576,"[{""token"":""+"",""logprob"":-0.0599517822265625},{""token"":""f"",""logprob"":-2.844249725341797}]",+ 96
gpt-5.6-luna,banking-185,top_up_reverted,top_up_reverted,s,1,99,-3.814697265625e-06,0.9999961853100103,"[{""token"":""s"",""logprob"":-3.814697265625e-06}]",s 99
gpt-5.6-luna,banking-203,transfer_timing,transfer_timing,R,1,85,-0.001007080078125,0.9989934268568279,"[{""token"":""R"",""logprob"":-0.001007080078125}]",R 85
gpt-5.6-luna,banking-145,pending_top_up,pending_top_up,/,1,98,0.0,1.0,"[{""token"":""/"",""logprob"":0.0}]",/ 98
gpt-5.6-luna,banking-747,visa_or_mastercard,visa_or_mastercard,g,1,99,3.814697265625e-06,1.0000038147045416,"[{""token"":""g"",""logprob"":3.814697265625e-06}]",g 99
gpt-5.6-luna,banking-422,declined_cash_withdrawal,declined_cash_withdrawal,2,1,98,3.814697265625e-06,1.0000038147045416,"[{""token"":""2"",""logprob"":3.814697265625e-06}]",2 98
gpt-5.6-luna,banking-119,get_physical_card,change_pin,g,0,92,0.0,1.0,"[{""token"":""g"",""logprob"":0.0}]",g 92
gpt-5.6-luna,banking-595,receiving_money,receiving_money,3,1,72,-0.01413726806640625,0.9859621938495303,"[{""token"":""3"",""logprob"":-0.01413726806640625}]",3 72
gpt-5.6-luna,banking-314,card_acceptance,card_acceptance,3,1,96,-3.814697265625e-06,0.9999961853100103,"[{""token"":""3"",""logprob"":-3.814697265625e-06}]",3 96
gpt-5.6-luna,banking-471,exchange_via_app,exchange_via_app,T,1,90,0.0,1.0,"[{""token"":""T"",""logprob"":0.0}]",T 90
gpt-5.6-luna,banking-730,verify_top_up,verify_top_up,h,1,99,3.814697265625e-06,1.0000038147045416,"[{""token"":""h"",""logprob"":3.814697265625e-06}]",h 99
gpt-5.6-luna,banking-688,transfer_into_account,transfer_into_account,4,1,72,-3.814697265625e-06,0.9999961853100103,"[{""token"":""4"",""logprob"":-3.814697265625e-06}]",4 72
gpt-5.6-luna,banking-659,top_up_reverted,top_up_reverted,A,1,98,0.0,1.0,"[{""token"":""A"",""logprob"":0.0}]",A 98
gpt-5.6-luna,banking-008,age_limit,age_limit,S,1,92,0.0,1.0,"[{""token"":""S"",""logprob"":0.0}]",S 92
gpt-5.6-luna,banking-025,beneficiary_not_allowed,failed_transfer,z,0,78,-0.003055572509765625,0.9969490910008081,"[{""token"":""z"",""logprob"":-0.003055572509765625}]",z 78
gpt-5.6-luna,banking-542,order_physical_card,order_physical_card,J,1,55,-0.11179733276367188,0.8942254693414111,"[{""token"":""J"",""logprob"":-0.11179733276367188},{""token"":""z"",""logprob"":-2.2488327026367188}]",J 55
gpt-5.6-luna,banking-235,Refund_not_showing_up,Refund_not_showing_up,1,1,98,-5.7220458984375e-05,0.9999427811780749,"[{""token"":""1"",""logprob"":-5.7220458984375e-05}]",1 98
gpt-5.6-luna,banking-068,change_pin,change_pin,$,1,95,0.0,1.0,"[{""token"":""$"",""logprob"":0.0}]",$ 95
gpt-5.6-luna,banking-706,transfer_timing,transfer_timing,2,1,85,0.0,1.0,"[{""token"":""2"",""logprob"":0.0}]",2 85
gpt-5.6-luna,banking-613,supported_cards_and_currencies,supported_cards_and_currencies,w,1,98,3.814697265625e-06,1.0000038147045416,"[{""token"":""w"",""logprob"":3.814697265625e-06}]",w 98
gpt-5.6-luna,banking-047,card_not_working,card_not_working,z,1,96,3.814697265625e-06,1.0000038147045416,"[{""token"":""z"",""logprob"":3.814697265625e-06}]",z 96
gpt-5.6-luna,banking-444,disposable_card_limits,disposable_card_limits,W,1,98,0.0,1.0,"[{""token"":""W"",""logprob"":0.0}]",W 98
gpt-5.6-luna,banking-311,card_acceptance,card_acceptance,x,1,98,0.0,1.0,"[{""token"":""x"",""logprob"":0.0}]",x 98
gpt-5.6-luna,banking-711,unable_to_verify_identity,passcode_forgotten,j,0,78,0.0,1.0,"[{""token"":""j"",""logprob"":0.0}]",j 78
gpt-5.6-luna,banking-248,age_limit,age_limit,B,1,96,0.0,1.0,"[{""token"":""B"",""logprob"":0.0}]",B 96
gpt-5.6-luna,banking-430,declined_transfer,declined_transfer,$,1,98,-3.814697265625e-06,0.9999961853100103,"[{""token"":""$"",""logprob"":-3.814697265625e-06}]",$ 98
gpt-5.6-luna,banking-280,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,P,1,96,0.0,1.0,"[{""token"":""P"",""logprob"":0.0}]",P 96
gpt-5.6-luna,banking-292,beneficiary_not_allowed,failed_transfer,p,0,55,-0.002971649169921875,0.9970327618090968,"[{""token"":""p"",""logprob"":-0.002971649169921875}]",p 55
gpt-5.6-luna,banking-343,card_not_working,card_not_working,:,1,95,0.0,1.0,"[{""token"":"":"",""logprob"":0.0}]",: 95
gpt-5.6-luna,banking-651,top_up_failed,top_up_failed,0,1,92,0.0,1.0,"[{""token"":""0"",""logprob"":0.0}]",0 92
gpt-5.6-luna,banking-209,verify_my_identity,verify_my_identity,4,1,85,-1.52587890625e-05,0.9999847413273523,"[{""token"":""4"",""logprob"":-1.52587890625e-05}]",4 85
gpt-5.6-luna,banking-219,virtual_card_not_working,card_not_working,0,0,96,0.0,1.0,"[{""token"":""0"",""logprob"":0.0}]",0 96
gpt-5.6-luna,banking-402,contactless_not_working,contactless_not_working,&,1,99,-3.814697265625e-06,0.9999961853100103,"[{""token"":""&"",""logprob"":-3.814697265625e-06}]",& 99
gpt-5.6-luna,banking-560,pending_card_payment,pending_card_payment,i,1,98,0.0,1.0,"[{""token"":""i"",""logprob"":0.0}]",i 98
gpt-5.6-luna,banking-515,getting_spare_card,getting_spare_card,k,1,96,0.0,1.0,"[{""token"":""k"",""logprob"":0.0}]",k 96
gpt-5.6-luna,banking-055,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,5,1,99,-3.814697265625e-06,0.9999961853100103,"[{""token"":""5"",""logprob"":-3.814697265625e-06}]",5 99
gpt-5.6-luna,banking-115,get_disposable_virtual_card,get_disposable_virtual_card,0,1,88,-0.02213287353515625,0.978110261448164,"[{""token"":""0"",""logprob"":-0.02213287353515625},{""token"":""?"",""logprob"":-3.8270034790039062}]",0 88
gpt-5.6-luna,banking-130,lost_or_stolen_phone,lost_or_stolen_phone,b,1,99,0.0,1.0,"[{""token"":""b"",""logprob"":0.0}]",b 99
gpt-5.6-luna,banking-594,receiving_money,fiat_currency_support,u,0,85,-2.6702880859375e-05,0.9999732974756593,"[{""token"":""u"",""logprob"":-2.6702880859375e-05}]",u 85
gpt-5.6-luna,banking-244,activate_my_card,activate_my_card,?,1,98,0.0,1.0,"[{""token"":""?"",""logprob"":0.0}]",? 98
gpt-5.6-luna,banking-436,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,W,1,99,0.0,1.0,"[{""token"":""W"",""logprob"":0.0}]",W 99
gpt-5.6-luna,banking-305,card_about_to_expire,card_about_to_expire,6,1,99,0.0,1.0,"[{""token"":""6"",""logprob"":0.0}]",6 99
gpt-5.6-luna,banking-360,card_payment_wrong_exchange_rate,exchange_rate,@,0,96,0.0,1.0,"[{""token"":""@"",""logprob"":0.0}]",@ 96
gpt-5.6-luna,banking-543,order_physical_card,get_physical_card,2,0,58,-0.14767074584960938,0.8627151207185407,"[{""token"":""2"",""logprob"":-0.14767074584960938},{""token"":""c"",""logprob"":-1.9960060119628906}]",2 58
gpt-5.6-luna,banking-581,pending_transfer,pending_transfer,u,1,98,0.0,1.0,"[{""token"":""u"",""logprob"":0.0}]",u 98
gpt-5.6-luna,banking-558,pending_card_payment,pending_card_payment,T,1,70,-0.00377655029296875,0.996230571904489,"[{""token"":""T"",""logprob"":-0.00377655029296875}]",T 70
gpt-5.6-luna,banking-373,cash_withdrawal_charge,cash_withdrawal_charge,*,1,99,0.0,1.0,"[{""token"":""*"",""logprob"":0.0}]",* 99
gpt-5.6-luna,banking-671,topping_up_by_card,topping_up_by_card,A,1,99,0.0,1.0,"[{""token"":""A"",""logprob"":0.0}]",A 99
gpt-5.6-luna,banking-606,reverted_card_payment?,reverted_card_payment?,!,1,85,-7.62939453125e-06,0.9999923706345725,"[{""token"":""!"",""logprob"":-7.62939453125e-06}]",! 85
gpt-5.6-luna,banking-152,pin_blocked,passcode_forgotten,2,0,55,0.0,1.0,"[{""token"":""2"",""logprob"":0.0}]",2 55
gpt-5.6-luna,banking-313,card_acceptance,card_acceptance,e,1,96,0.0,1.0,"[{""token"":""e"",""logprob"":0.0}]",e 96
gpt-5.6-luna,banking-639,top_up_by_cash_or_cheque,top_up_by_cash_or_cheque,X,1,98,-3.814697265625e-06,0.9999961853100103,"[{""token"":""X"",""logprob"":-3.814697265625e-06}]",X 98
gpt-5.6-luna,banking-537,lost_or_stolen_phone,lost_or_stolen_phone,t,1,98,0.0,1.0,"[{""token"":""t"",""logprob"":0.0}]",t 98
gpt-5.6-luna,banking-479,extra_charge_on_statement,extra_charge_on_statement,g,1,98,0.0,1.0,"[{""token"":""g"",""logprob"":0.0}]",g 98
gpt-5.6-luna,banking-204,transfer_timing,transfer_timing,A,1,88,-0.004909515380859375,0.9951025165913406,"[{""token"":""A"",""logprob"":-0.004909515380859375}]",A 88
gpt-5.6-luna,banking-019,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,M,1,96,0.0,1.0,"[{""token"":""M"",""logprob"":0.0}]",M 96
gpt-5.6-luna,banking-510,get_physical_card,change_pin,g,0,78,-7.62939453125e-06,0.9999923706345725,"[{""token"":""g"",""logprob"":-7.62939453125e-06}]",g 78
gpt-5.6-luna,banking-268,automatic_top_up,automatic_top_up,J,1,96,-6.4849853515625e-05,0.9999351522491907,"[{""token"":""J"",""logprob"":-6.4849853515625e-05}]",J 96
gpt-5.6-luna,banking-618,terminate_account,terminate_account,z,1,99,0.0,1.0,"[{""token"":""z"",""logprob"":0.0}]",z 99
gpt-5.6-luna,banking-329,card_delivery_estimate,card_delivery_estimate,l,1,85,-0.2315216064453125,0.7933255543727399,"[{""token"":""l"",""logprob"":-0.2315216064453125},{""token"":""y"",""logprob"":-1.5766105651855469}]",l 85
gpt-5.6-luna,banking-664,top_up_reverted,top_up_reverted,C,1,98,-1.52587890625e-05,0.9999847413273523,"[{""token"":""C"",""logprob"":-1.52587890625e-05}]",C 98
gpt-5.6-luna,banking-153,pin_blocked,pin_blocked,w,1,92,-0.000179290771484375,0.9998207253001454,"[{""token"":""w"",""logprob"":-0.000179290771484375}]",w 92
gpt-5.6-luna,banking-334,card_linking,card_linking,K,1,96,-0.000682830810546875,0.9993174022653576,"[{""token"":""K"",""logprob"":-0.000682830810546875}]",K 96
gpt-5.6-luna,banking-498,get_disposable_virtual_card,get_disposable_virtual_card,&,1,98,0.0,1.0,"[{""token"":""&"",""logprob"":0.0}]",& 98
gpt-5.6-luna,banking-629,top_up_by_bank_transfer_charge,receiving_money,G,0,72,-0.000522613525390625,0.9994775230132712,"[{""token"":""G"",""logprob"":-0.000522613525390625}]",G 72
gpt-5.6-luna,banking-513,getting_spare_card,getting_spare_card,V,1,98,0.0,1.0,"[{""token"":""V"",""logprob"":0.0}]",V 98
gpt-5.6-luna,banking-218,virtual_card_not_working,virtual_card_not_working,7,1,99,0.0,1.0,"[{""token"":""7"",""logprob"":0.0}]",7 99
gpt-5.6-luna,banking-295,cancel_transfer,cancel_transfer,O,1,55,-2.288818359375e-05,0.9999771120783387,"[{""token"":""O"",""logprob"":-2.288818359375e-05}]",O 55
gpt-5.6-luna,banking-707,transfer_timing,transfer_timing,7,1,85,0.0,1.0,"[{""token"":""7"",""logprob"":0.0}]",7 85
gpt-5.6-luna,banking-157,request_refund,request_refund,G,1,72,-0.005565643310546875,0.9944498161882007,"[{""token"":""G"",""logprob"":-0.005565643310546875}]",G 72
gpt-5.6-luna,banking-691,transfer_into_account,transfer_into_account,j,1,92,-1.1444091796875e-05,0.9999885559736865,"[{""token"":""j"",""logprob"":-1.1444091796875e-05}]",j 92
gpt-5.6-luna,banking-630,top_up_by_bank_transfer_charge,transfer_timing,l,0,35,-3.814697265625e-06,0.9999961853100103,"[{""token"":""l"",""logprob"":-3.814697265625e-06}]",l 35
gpt-5.6-luna,banking-102,exchange_rate,exchange_rate,8,1,55,-0.000560760498046875,0.9994393966987366,"[{""token"":""8"",""logprob"":-0.000560760498046875}]",8 55
gpt-5.6-luna,banking-348,card_payment_fee_charged,top_up_by_card_charge,s,0,72,-0.020355224609375,0.9798505444515491,"[{""token"":""s"",""logprob"":-0.020355224609375},{""token"":""G"",""logprob"":-3.904834747314453}]",s 72
gpt-5.6-luna,banking-330,card_linking,lost_or_stolen_card,:,0,78,-0.004512786865234375,0.9954973804573413,"[{""token"":"":"",""logprob"":-0.004512786865234375}]",: 78
gpt-5.6-luna,banking-142,pending_cash_withdrawal,pending_cash_withdrawal,T,1,99,0.0,1.0,"[{""token"":""T"",""logprob"":0.0}]",T 99
gpt-5.6-luna,banking-392,change_pin,change_pin,#,1,99,0.0,1.0,"[{""token"":""#"",""logprob"":0.0}]",# 99
gpt-5.6-luna,banking-147,pending_top_up,pending_top_up,0,1,99,0.0,1.0,"[{""token"":""0"",""logprob"":0.0}]",0 99
gpt-5.6-luna,banking-601,request_refund,request_refund,w,1,92,0.0,1.0,"[{""token"":""w"",""logprob"":0.0}]",w 92
gpt-5.6-luna,banking-040,card_delivery_estimate,card_delivery_estimate,E,1,90,-5.340576171875e-05,0.9999465956643435,"[{""token"":""E"",""logprob"":-5.340576171875e-05}]",E 90
gpt-5.6-luna,banking-689,transfer_into_account,transfer_into_account,=,1,98,0.0,1.0,"[{""token"":""="",""logprob"":0.0}]",= 98
gpt-5.6-luna,banking-315,card_acceptance,card_acceptance,f,1,98,-3.814697265625e-06,0.9999961853100103,"[{""token"":""f"",""logprob"":-3.814697265625e-06}]",f 98
gpt-5.6-luna,banking-322,card_arrival,card_delivery_estimate,r,0,96,-7.2479248046875e-05,0.9999275233785103,"[{""token"":""r"",""logprob"":-7.2479248046875e-05}]",r 96
gpt-5.6-luna,banking-605,reverted_card_payment?,reverted_card_payment?,?,1,96,0.0,1.0,"[{""token"":""?"",""logprob"":0.0}]",? 96
gpt-5.6-luna,banking-341,card_not_working,card_not_working,k,1,98,0.0,1.0,"[{""token"":""k"",""logprob"":0.0}]",k 98
gpt-5.6-luna,banking-335,card_linking,card_linking,?,1,99,0.0,1.0,"[{""token"":""?"",""logprob"":0.0}]",? 99
gpt-5.6-luna,banking-027,beneficiary_not_allowed,receiving_money,E,0,72,-0.28917694091796875,0.7488796862198542,"[{""token"":""E"",""logprob"":-0.28917694091796875},{""token"":""q"",""logprob"":-1.5394248962402344},{""token"":""/"",""logprob"":-3.408832550048828}]",E 72
gpt-5.6-luna,banking-018,automatic_top_up,automatic_top_up,o,1,99,0.0,1.0,"[{""token"":""o"",""logprob"":0.0}]",o 99
gpt-5.6-luna,banking-208,verify_my_identity,verify_my_identity,o,1,96,0.0,1.0,"[{""token"":""o"",""logprob"":0.0}]",o 96
gpt-5.6-luna,banking-588,pin_blocked,pin_blocked,=,1,99,-3.814697265625e-06,0.9999961853100103,"[{""token"":""="",""logprob"":-3.814697265625e-06}]",= 99
gpt-5.6-luna,banking-007,age_limit,age_limit,Y,1,99,0.0,1.0,"[{""token"":""Y"",""logprob"":0.0}]",Y 99
gpt-5.6-luna,banking-267,automatic_top_up,top_up_limits,=,0,98,-0.06838226318359375,0.9339034084450533,"[{""token"":""="",""logprob"":-0.06838226318359375},{""token"":""g"",""logprob"":-2.7167625427246094}]",= 98
gpt-5.6-luna,banking-361,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,O,1,98,0.0,1.0,"[{""token"":""O"",""logprob"":0.0}]",O 98
gpt-5.6-luna,banking-514,getting_spare_card,getting_spare_card,Q,1,99,0.0,1.0,"[{""token"":""Q"",""logprob"":0.0}]",Q 99
gpt-5.6-luna,banking-371,card_swallowed,card_swallowed,4,1,99,0.0,1.0,"[{""token"":""4"",""logprob"":0.0}]",4 99
gpt-5.6-luna,banking-347,card_payment_fee_charged,card_payment_fee_charged,7,1,88,-0.000232696533203125,0.9997673305385353,"[{""token"":""7"",""logprob"":-0.000232696533203125}]",7 88
gpt-5.6-luna,banking-012,apple_pay_or_google_pay,apple_pay_or_google_pay,w,1,96,0.0,1.0,"[{""token"":""w"",""logprob"":0.0}]",w 96
gpt-5.6-luna,banking-495,fiat_currency_support,fiat_currency_support,M,1,96,0.0,1.0,"[{""token"":""M"",""logprob"":0.0}]",M 96
gpt-5.6-luna,banking-413,country_support,country_support,5,1,96,0.0,1.0,"[{""token"":""5"",""logprob"":0.0}]",5 96
gpt-5.6-luna,banking-253,apple_pay_or_google_pay,apple_pay_or_google_pay,7,1,99,0.0,1.0,"[{""token"":""7"",""logprob"":0.0}]",7 99
gpt-5.6-luna,banking-676,transaction_charged_twice,transaction_charged_twice,S,1,99,0.0,1.0,"[{""token"":""S"",""logprob"":0.0}]",S 99
gpt-5.6-luna,banking-694,transfer_not_received_by_recipient,transfer_timing,o,0,98,0.0,1.0,"[{""token"":""o"",""logprob"":0.0}]",o 98
gpt-5.6-luna,banking-229,wrong_exchange_rate_for_cash_withdrawal,wrong_exchange_rate_for_cash_withdrawal,!,1,99,0.0,1.0,"[{""token"":""!"",""logprob"":0.0}]",! 99
