model,condition,id,gold,prediction,confidence,correct,request_words,padding_words,raw
gpt-4.1-nano,short,banking-686,transfer_fee_charged,transfer_fee_charged,95,1,6,0,"{""label"": ""transfer_fee_charged"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-312,card_acceptance,card_acceptance,85,1,9,0,"{""label"": ""card_acceptance"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-472,exchange_via_app,exchange_rate,85,0,6,0,"{   ""label"": ""exchange_rate"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-222,visa_or_mastercard,supported_cards_and_currencies,85,0,6,0,"{""label"": ""supported_cards_and_currencies"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-136,passcode_forgotten,change_pin,85,0,11,0,"{""label"": ""change_pin"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-294,beneficiary_not_allowed,declined_transfer,95,0,8,0,"{   ""label"": ""declined_transfer"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-198,transfer_into_account,pending_top_up,85,0,19,0,"{   ""label"": ""pending_top_up"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-248,age_limit,age_limit,85,1,8,0,"{   ""label"": ""age_limit"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-584,pin_blocked,change_pin,95,0,9,0,"{   ""label"": ""change_pin"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-074,contactless_not_working,contactless_not_working,85,1,11,0,"{""label"": ""contactless_not_working"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-484,failed_transfer,transfer_not_received_by_recipient,70,0,41,0,"{   ""label"": ""transfer_not_received_by_recipient"",   ""confidence"": 70 }"
gpt-4.1-nano,short,banking-734,verify_top_up,verify_top_up,95,1,7,0,"{   ""label"": ""verify_top_up"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-672,topping_up_by_card,top_up_by_card_charge,80,0,9,0,"{   ""label"": ""top_up_by_card_charge"",   ""confidence"": 80 }"
gpt-4.1-nano,short,banking-647,top_up_failed,top_up_failed,85,1,10,0,"{   ""label"": ""top_up_failed"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-078,country_support,country_support,85,1,6,0,"{""label"": ""country_support"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-285,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,85,0,14,0,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-464,exchange_rate,exchange_rate,95,1,8,0,"{""label"": ""exchange_rate"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-705,transfer_timing,transfer_timing,85,1,11,0,"{""label"": ""transfer_timing"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-637,top_up_by_card_charge,top_up_by_card_charge,85,1,10,0,"{""label"": ""top_up_by_card_charge"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-562,pending_cash_withdrawal,pending_cash_withdrawal,85,1,12,0,"{""label"": ""pending_cash_withdrawal"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-664,top_up_reverted,top_up_failed,85,0,6,0,"{""label"": ""top_up_failed"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-006,activate_my_card,activate_my_card,95,1,12,0,"{""label"": ""activate_my_card"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-169,top_up_by_bank_transfer_charge,top_up_by_bank_transfer_charge,85,1,12,0,"{""label"": ""top_up_by_bank_transfer_charge"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-284,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,85,1,9,0,"{   ""label"": ""balance_not_updated_after_cheque_or_cash_deposit"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-005,activate_my_card,card_linking,85,0,9,0,"{   ""label"": ""card_linking"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-272,automatic_top_up,automatic_top_up,85,1,7,0,"{""label"": ""automatic_top_up"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-172,top_up_by_card_charge,top_up_by_card_charge,85,1,7,0,"{""label"": ""top_up_by_card_charge"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-712,unable_to_verify_identity,verify_my_identity,85,0,6,0,"{""label"": ""verify_my_identity"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-115,get_disposable_virtual_card,get_disposable_virtual_card,85,1,17,0,"{   ""label"": ""get_disposable_virtual_card"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-105,exchange_via_app,exchange_rate,85,0,11,0,"{""label"": ""exchange_rate"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-096,edit_personal_details,edit_personal_details,85,1,6,0,"{""label"": ""edit_personal_details"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-615,supported_cards_and_currencies,supported_cards_and_currencies,95,1,7,0,"{""label"": ""supported_cards_and_currencies"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-413,country_support,get_physical_card,70,0,16,0,"{   ""label"": ""get_physical_card"",   ""confidence"": 70 }"
gpt-4.1-nano,short,banking-613,supported_cards_and_currencies,top_up_limits,85,0,11,0,"{""label"": ""top_up_limits"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-769,wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,85,0,19,0,"{""label"": ""card_payment_wrong_exchange_rate"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-280,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,85,1,15,0,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-109,failed_transfer,failed_transfer,85,1,10,0,"{   ""label"": ""failed_transfer"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-034,card_acceptance,card_acceptance,85,1,9,0,"{""label"": ""card_acceptance"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-594,receiving_money,top_up_by_bank_transfer_charge,70,0,8,0,"{   ""label"": ""top_up_by_bank_transfer_charge"",   ""confidence"": 70 }"
gpt-4.1-nano,short,banking-130,lost_or_stolen_phone,lost_or_stolen_phone,95,1,8,0,"{   ""label"": ""lost_or_stolen_phone"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-299,cancel_transfer,cancel_transfer,95,1,12,0,"{   ""label"": ""cancel_transfer"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-539,lost_or_stolen_phone,lost_or_stolen_phone,95,1,8,0,"{   ""label"": ""lost_or_stolen_phone"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-626,top_up_by_bank_transfer_charge,transfer_fee_charged,85,0,9,0,"{""label"": ""transfer_fee_charged"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-044,card_linking,getting_spare_card,85,0,14,0,"{   ""label"": ""getting_spare_card"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-259,apple_pay_or_google_pay,apple_pay_or_google_pay,85,1,8,0,"{""label"": ""apple_pay_or_google_pay"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-379,cash_withdrawal_not_recognised,balance_not_updated_after_bank_transfer,70,0,9,0,"{""label"": ""balance_not_updated_after_bank_transfer"", ""confidence"": 70}"
gpt-4.1-nano,short,banking-210,verify_my_identity,verify_my_identity,95,1,8,0,"{""label"": ""verify_my_identity"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-468,exchange_rate,exchange_rate,95,1,8,0,"{""label"": ""exchange_rate"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-608,reverted_card_payment?,card_not_working,85,0,8,0,"{   ""label"": ""card_not_working"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-076,country_support,get_physical_card,85,0,11,0,"{   ""label"": ""get_physical_card"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-351,card_payment_not_recognised,card_payment_not_recognised,85,1,8,0,"{""label"": ""card_payment_not_recognised"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-176,top_up_by_cash_or_cheque,top_up_by_cash_or_cheque,85,1,6,0,"{   ""label"": ""top_up_by_cash_or_cheque"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-297,cancel_transfer,reverted_card_payment?,70,0,8,0,"{   ""label"": ""reverted_card_payment?"",   ""confidence"": 70 }"
gpt-4.1-nano,short,banking-416,declined_card_payment,card_not_working,85,0,10,0,"{""label"": ""card_not_working"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-513,getting_spare_card,getting_spare_card,95,1,11,0,"{   ""label"": ""getting_spare_card"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-218,virtual_card_not_working,virtual_card_not_working,95,1,7,0,"{""label"": ""virtual_card_not_working"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-756,why_verify_identity,unable_to_verify_identity,80,0,8,0,"{""label"": ""unable_to_verify_identity"", ""confidence"": 80}"
gpt-4.1-nano,short,banking-032,card_about_to_expire,card_about_to_expire,95,1,11,0,"{   ""label"": ""card_about_to_expire"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-235,Refund_not_showing_up,balance_not_updated_after_bank_transfer,70,0,17,0,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 70 }"
gpt-4.1-nano,short,banking-676,transaction_charged_twice,transaction_charged_twice,85,1,10,0,"{""label"": ""transaction_charged_twice"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-150,pending_transfer,pending_transfer,85,1,6,0,"{""label"": ""pending_transfer"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-143,pending_cash_withdrawal,pending_cash_withdrawal,95,1,12,0,"{""label"": ""pending_cash_withdrawal"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-763,wrong_amount_of_cash_received,wrong_amount_of_cash_received,85,1,26,0,"{   ""label"": ""wrong_amount_of_cash_received"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-622,terminate_account,terminate_account,95,1,11,0,"{   ""label"": ""terminate_account"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-122,getting_spare_card,get_spare_card,85,0,8,0,"{""label"": ""get_spare_card"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-517,getting_spare_card,getting_spare_card,85,1,10,0,"{   ""label"": ""getting_spare_card"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-456,exchange_charge,exchange_charge,85,1,7,0,"{   ""label"": ""exchange_charge"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-741,virtual_card_not_working,virtual_card_not_working,85,1,12,0,"{""label"": ""virtual_card_not_working"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-026,beneficiary_not_allowed,beneficiary_not_allowed,85,1,10,0,"{""label"": ""beneficiary_not_allowed"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-629,top_up_by_bank_transfer_charge,receiving_money,85,0,12,0,"{""label"": ""receiving_money"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-740,virtual_card_not_working,automatic_top_up,20,0,12,0,"{""label"": ""automatic_top_up"", ""confidence"": 20}"
gpt-4.1-nano,short,banking-255,apple_pay_or_google_pay,apple_pay_or_google_pay,95,1,7,0,"{   ""label"": ""apple_pay_or_google_pay"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-523,getting_virtual_card,get_virtual_card,85,0,7,0,"{""label"": ""get_virtual_card"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-706,transfer_timing,transfer_timing,70,1,19,0,"{""label"": ""transfer_timing"", ""confidence"": 70}"
gpt-4.1-nano,short,banking-641,top_up_by_cash_or_cheque,top_up_by_cash_or_cheque,85,1,10,0,"{   ""label"": ""top_up_by_cash_or_cheque"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-581,pending_transfer,pending_transfer,95,1,12,0,"{   ""label"": ""pending_transfer"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-072,compromised_card,compromised_card,85,1,14,0,"{""label"": ""compromised_card"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-700,transfer_not_received_by_recipient,pending_transfer,85,0,7,0,"{""label"": ""pending_transfer"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-107,extra_charge_on_statement,extra_charge_on_statement,85,1,16,0,"{   ""label"": ""extra_charge_on_statement"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-607,reverted_card_payment?,declined_card_payment,85,0,11,0,"{   ""label"": ""declined_card_payment"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-646,top_up_failed,top_up_failed,95,1,5,0,"{""label"": ""top_up_failed"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-571,pending_top_up,top_up_failed,70,0,8,0,"{""label"": ""top_up_failed"", ""confidence"": 70}"
gpt-4.1-nano,short,banking-359,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,95,1,13,0,"{""label"": ""card_payment_wrong_exchange_rate"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-186,top_up_reverted,top_up_failed,80,0,7,0,"{   ""label"": ""top_up_failed"",   ""confidence"": 80 }"
gpt-4.1-nano,short,banking-311,card_acceptance,card_acceptance,85,1,6,0,"{   ""label"": ""card_acceptance"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-046,card_not_working,card_not_working,85,1,11,0,"{""label"": ""card_not_working"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-396,compromised_card,compromised_card,85,1,11,0,"{   ""label"": ""compromised_card"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-685,transfer_fee_charged,transfer_fee_charged,85,1,7,0,"{   ""label"": ""transfer_fee_charged"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-585,pin_blocked,change_pin,95,0,6,0,"{""label"": ""change_pin"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-564,pending_cash_withdrawal,card_not_working,85,0,27,0,"{""label"": ""card_not_working"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-069,change_pin,change_pin,95,1,9,0,"{""label"": ""change_pin"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-698,transfer_not_received_by_recipient,pending_transfer,85,0,8,0,"{   ""label"": ""pending_transfer"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-084,declined_cash_withdrawal,declined_cash_withdrawal,95,1,6,0,"{   ""label"": ""declined_cash_withdrawal"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-326,card_delivery_estimate,card_delivery_estimate,85,1,11,0,"{""label"": ""card_delivery_estimate"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-030,cancel_transfer,cancel_transfer,95,1,25,0,"{   ""label"": ""cancel_transfer"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-620,terminate_account,terminate_account,95,1,5,0,"{   ""label"": ""terminate_account"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-606,reverted_card_payment?,cancel_transfer,85,0,8,0,"{""label"": ""cancel_transfer"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-276,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,95,1,12,0,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-332,card_linking,activate_my_card,95,0,18,0,"{""label"": ""activate_my_card"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-286,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,85,0,10,0,"{""label"": ""balance_not_updated_after_bank_transfer"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-371,card_swallowed,card_swallowed,95,1,18,0,"{   ""label"": ""card_swallowed"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-507,get_physical_card,change_pin,95,0,4,0,"{   ""label"": ""change_pin"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-483,extra_charge_on_statement,extra_charge_on_statement,95,1,11,0,"{""label"": ""extra_charge_on_statement"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-141,pending_card_payment,pending_card_payment,95,1,5,0,"{""label"": ""pending_card_payment"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-083,declined_cash_withdrawal,cash_withdrawal_not_recognised,85,0,26,0,"{   ""label"": ""cash_withdrawal_not_recognised"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-550,passcode_forgotten,passcode_forgotten,85,1,7,0,"{""label"": ""passcode_forgotten"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-660,top_up_reverted,top_up_failed,70,0,12,0,"{""label"": ""top_up_failed"", ""confidence"": 70}"
gpt-4.1-nano,short,banking-673,transaction_charged_twice,request_refund,85,0,26,0,"{""label"": ""request_refund"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-397,compromised_card,compromised_card,85,1,11,0,"{""label"": ""compromised_card"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-118,get_physical_card,change_pin,85,0,8,0,"{""label"": ""change_pin"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-216,verify_top_up,verify_top_up,85,1,9,0,"{   ""label"": ""verify_top_up"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-231,wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,85,0,19,0,"{""label"": ""cash_withdrawal_charge"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-181,top_up_limits,top_up_limits,95,1,9,0,"{""label"": ""top_up_limits"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-503,get_disposable_virtual_card,get_disposable_virtual_card,85,1,7,0,"{""label"": ""get_disposable_virtual_card"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-563,pending_cash_withdrawal,cash_withdrawal_not_recognised,85,0,17,0,"{""label"": ""cash_withdrawal_not_recognised"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-346,card_payment_fee_charged,card_payment_fee_charged,95,1,11,0,"{""label"": ""card_payment_fee_charged"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-730,verify_top_up,verify_top_up,95,1,6,0,"{   ""label"": ""verify_top_up"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-444,disposable_card_limits,get_disposable_virtual_card,85,0,11,0,"{   ""label"": ""get_disposable_virtual_card"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-759,wrong_amount_of_cash_received,wrong_amount_of_cash_received,85,1,10,0,"{""label"": ""wrong_amount_of_cash_received"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-348,card_payment_fee_charged,card_payment_fee_charged,85,1,14,0,"{   ""label"": ""card_payment_fee_charged"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-221,visa_or_mastercard,supported_cards_and_currencies,85,0,7,0,"{   ""label"": ""supported_cards_and_currencies"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-020,balance_not_updated_after_bank_transfer,pending_transfer,85,0,26,0,"{   ""label"": ""pending_transfer"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-725,verify_source_of_funds,verify_source_of_funds,85,1,9,0,"{   ""label"": ""verify_source_of_funds"",   ""confidence"": 85 }"
