model,prompt,better,worse,same,score_pct,p_value
anthropic/claude-3.7-sonnet,Praise,0,0,10,0.0,1.0
anthropic/claude-3.7-sonnet,Reasoning,1,0,9,10.0,1.0
anthropic/claude-3.7-sonnet,Shaming,0,0,10,0.0,1.0
anthropic/claude-opus-4,Bullying,0,0,10,0.0,1.0
anthropic/claude-opus-4,Curious,0,0,10,0.0,1.0
anthropic/claude-opus-4,Emotion,0,0,10,0.0,1.0
anthropic/claude-opus-4,Expert,1,0,9,10.0,1.0
anthropic/claude-opus-4,Fear,0,0,10,0.0,1.0
anthropic/claude-opus-4,Incentive,0,0,10,0.0,1.0
anthropic/claude-opus-4,Polite,0,0,10,0.0,1.0
anthropic/claude-opus-4,Praise,1,0,9,10.0,1.0
anthropic/claude-opus-4,Reasoning,3,0,7,30.0,0.25
anthropic/claude-opus-4,Shaming,0,0,10,0.0,1.0
anthropic/claude-sonnet-4,Bullying,0,0,10,0.0,1.0
anthropic/claude-sonnet-4,Curious,0,0,10,0.0,1.0
anthropic/claude-sonnet-4,Emotion,0,0,10,0.0,1.0
anthropic/claude-sonnet-4,Expert,1,0,9,10.0,1.0
anthropic/claude-sonnet-4,Fear,0,0,10,0.0,1.0
anthropic/claude-sonnet-4,Incentive,0,0,10,0.0,1.0
anthropic/claude-sonnet-4,Polite,1,0,9,10.0,1.0
anthropic/claude-sonnet-4,Praise,1,0,9,10.0,1.0
anthropic/claude-sonnet-4,Reasoning,0,0,10,0.0,1.0
anthropic/claude-sonnet-4,Shaming,0,0,10,0.0,1.0
deepseek/deepseek-chat-v3-0324,Bullying,2,0,8,20.0,0.5
deepseek/deepseek-chat-v3-0324,Curious,1,1,8,0.0,1.0
deepseek/deepseek-chat-v3-0324,Emotion,0,1,9,-10.0,1.0
deepseek/deepseek-chat-v3-0324,Expert,0,0,10,0.0,1.0
deepseek/deepseek-chat-v3-0324,Fear,0,0,10,0.0,1.0
deepseek/deepseek-chat-v3-0324,Incentive,2,0,8,20.0,0.5
deepseek/deepseek-chat-v3-0324,Polite,0,1,9,-10.0,1.0
deepseek/deepseek-chat-v3-0324,Praise,2,1,7,10.0,1.0
deepseek/deepseek-chat-v3-0324,Reasoning,1,1,8,0.0,1.0
deepseek/deepseek-chat-v3-0324,Shaming,1,1,8,0.0,1.0
deepseek/deepseek-r1,Bullying,1,0,9,10.0,1.0
deepseek/deepseek-r1,Curious,1,0,9,10.0,1.0
deepseek/deepseek-r1,Emotion,1,0,9,10.0,1.0
deepseek/deepseek-r1,Expert,0,0,10,0.0,1.0
deepseek/deepseek-r1,Fear,2,0,8,20.0,0.5
deepseek/deepseek-r1,Incentive,0,0,10,0.0,1.0
deepseek/deepseek-r1,Polite,1,0,9,10.0,1.0
deepseek/deepseek-r1,Praise,1,0,9,10.0,1.0
deepseek/deepseek-r1,Reasoning,1,0,9,10.0,1.0
deepseek/deepseek-r1,Shaming,0,0,10,0.0,1.0
google/gemini-2.0-flash-001,Bullying,0,0,10,0.0,1.0
google/gemini-2.0-flash-001,Curious,0,0,10,0.0,1.0
google/gemini-2.0-flash-001,Emotion,0,1,9,-10.0,1.0
google/gemini-2.0-flash-001,Expert,2,0,8,20.0,0.5
google/gemini-2.0-flash-001,Fear,0,0,10,0.0,1.0
google/gemini-2.0-flash-001,Incentive,0,1,9,-10.0,1.0
google/gemini-2.0-flash-001,Polite,0,0,10,0.0,1.0
google/gemini-2.0-flash-001,Praise,0,1,9,-10.0,1.0
google/gemini-2.0-flash-001,Reasoning,3,0,7,30.0,0.25
google/gemini-2.0-flash-001,Shaming,0,1,9,-10.0,1.0
google/gemini-2.0-flash-lite-001,Bullying,0,3,7,-30.0,0.25
google/gemini-2.0-flash-lite-001,Curious,0,3,7,-30.0,0.25
google/gemini-2.0-flash-lite-001,Emotion,0,3,7,-30.0,0.25
google/gemini-2.0-flash-lite-001,Expert,0,2,8,-20.0,0.5
google/gemini-2.0-flash-lite-001,Fear,0,3,7,-30.0,0.25
google/gemini-2.0-flash-lite-001,Incentive,0,3,7,-30.0,0.25
google/gemini-2.0-flash-lite-001,Polite,0,3,7,-30.0,0.25
google/gemini-2.0-flash-lite-001,Praise,0,2,8,-20.0,0.5
google/gemini-2.0-flash-lite-001,Reasoning,1,1,8,0.0,1.0
google/gemini-2.0-flash-lite-001,Shaming,0,3,7,-30.0,0.25
google/gemini-2.5-flash-preview-05-20,Bullying,2,0,8,20.0,0.5
google/gemini-2.5-flash-preview-05-20,Curious,0,0,10,0.0,1.0
google/gemini-2.5-flash-preview-05-20,Emotion,1,1,8,0.0,1.0
google/gemini-2.5-flash-preview-05-20,Expert,1,0,9,10.0,1.0
google/gemini-2.5-flash-preview-05-20,Fear,2,0,8,20.0,0.5
google/gemini-2.5-flash-preview-05-20,Incentive,2,0,8,20.0,0.5
google/gemini-2.5-flash-preview-05-20,Polite,1,0,9,10.0,1.0
google/gemini-2.5-flash-preview-05-20,Praise,2,0,8,20.0,0.5
google/gemini-2.5-flash-preview-05-20,Reasoning,1,0,9,10.0,1.0
google/gemini-2.5-flash-preview-05-20,Shaming,0,0,10,0.0,1.0
google/gemini-2.5-flash-preview-05-20:thinking,Bullying,0,0,10,0.0,1.0
google/gemini-2.5-flash-preview-05-20:thinking,Curious,0,1,9,-10.0,1.0
google/gemini-2.5-flash-preview-05-20:thinking,Emotion,0,1,9,-10.0,1.0
google/gemini-2.5-flash-preview-05-20:thinking,Expert,0,1,9,-10.0,1.0
google/gemini-2.5-flash-preview-05-20:thinking,Fear,0,2,8,-20.0,0.5
google/gemini-2.5-flash-preview-05-20:thinking,Incentive,0,3,7,-30.0,0.25
google/gemini-2.5-flash-preview-05-20:thinking,Polite,0,2,8,-20.0,0.5
google/gemini-2.5-flash-preview-05-20:thinking,Praise,0,3,7,-30.0,0.25
google/gemini-2.5-flash-preview-05-20:thinking,Reasoning,0,3,7,-30.0,0.25
google/gemini-2.5-flash-preview-05-20:thinking,Shaming,0,2,8,-20.0,0.5
google/gemini-2.5-pro-preview,Bullying,0,1,9,-10.0,1.0
google/gemini-2.5-pro-preview,Curious,0,0,10,0.0,1.0
google/gemini-2.5-pro-preview,Emotion,0,2,8,-20.0,0.5
google/gemini-2.5-pro-preview,Expert,0,1,9,-10.0,1.0
google/gemini-2.5-pro-preview,Fear,0,0,10,0.0,1.0
google/gemini-2.5-pro-preview,Incentive,0,0,10,0.0,1.0
google/gemini-2.5-pro-preview,Polite,0,0,10,0.0,1.0
google/gemini-2.5-pro-preview,Praise,0,0,10,0.0,1.0
google/gemini-2.5-pro-preview,Reasoning,0,2,8,-20.0,0.5
google/gemini-2.5-pro-preview,Shaming,1,0,9,10.0,1.0
google/gemini-flash-1.5,Bullying,0,0,10,0.0,1.0
google/gemini-flash-1.5,Curious,0,0,10,0.0,1.0
google/gemini-flash-1.5,Emotion,0,0,10,0.0,1.0
google/gemini-flash-1.5,Expert,0,0,10,0.0,1.0
google/gemini-flash-1.5,Fear,0,1,9,-10.0,1.0
google/gemini-flash-1.5,Incentive,0,0,10,0.0,1.0
google/gemini-flash-1.5,Polite,0,0,10,0.0,1.0
google/gemini-flash-1.5,Praise,0,0,10,0.0,1.0
google/gemini-flash-1.5,Reasoning,0,0,10,0.0,1.0
google/gemini-flash-1.5,Shaming,0,0,10,0.0,1.0
google/gemini-pro-1.5,Bullying,0,0,10,0.0,1.0
google/gemini-pro-1.5,Curious,0,0,10,0.0,1.0
google/gemini-pro-1.5,Emotion,0,0,10,0.0,1.0
google/gemini-pro-1.5,Expert,0,1,9,-10.0,1.0
google/gemini-pro-1.5,Fear,0,0,10,0.0,1.0
google/gemini-pro-1.5,Incentive,0,0,10,0.0,1.0
google/gemini-pro-1.5,Polite,0,0,10,0.0,1.0
google/gemini-pro-1.5,Praise,0,0,10,0.0,1.0
google/gemini-pro-1.5,Reasoning,1,1,8,0.0,1.0
google/gemini-pro-1.5,Shaming,0,0,10,0.0,1.0
meta-llama/llama-3-70b-instruct,Bullying,0,0,10,0.0,1.0
meta-llama/llama-3-70b-instruct,Curious,0,0,10,0.0,1.0
meta-llama/llama-3-70b-instruct,Emotion,0,0,10,0.0,1.0
meta-llama/llama-3-70b-instruct,Expert,0,0,10,0.0,1.0
meta-llama/llama-3-70b-instruct,Fear,0,0,10,0.0,1.0
meta-llama/llama-3-70b-instruct,Incentive,0,0,10,0.0,1.0
meta-llama/llama-3-70b-instruct,Polite,0,0,10,0.0,1.0
meta-llama/llama-3-70b-instruct,Praise,0,0,10,0.0,1.0
meta-llama/llama-3-70b-instruct,Reasoning,0,0,10,0.0,1.0
meta-llama/llama-3-70b-instruct,Shaming,0,0,10,0.0,1.0
meta-llama/llama-3-8b-instruct,Bullying,0,0,10,0.0,1.0
meta-llama/llama-3-8b-instruct,Curious,0,0,10,0.0,1.0
meta-llama/llama-3-8b-instruct,Emotion,0,0,10,0.0,1.0
meta-llama/llama-3-8b-instruct,Expert,0,0,10,0.0,1.0
meta-llama/llama-3-8b-instruct,Fear,0,0,10,0.0,1.0
meta-llama/llama-3-8b-instruct,Incentive,0,0,10,0.0,1.0
meta-llama/llama-3-8b-instruct,Polite,0,0,10,0.0,1.0
meta-llama/llama-3-8b-instruct,Praise,0,2,8,-20.0,0.5
meta-llama/llama-3-8b-instruct,Reasoning,0,0,10,0.0,1.0
meta-llama/llama-3-8b-instruct,Shaming,0,0,10,0.0,1.0
meta-llama/llama-3.1-405b-instruct,Bullying,0,0,10,0.0,1.0
meta-llama/llama-3.1-405b-instruct,Curious,0,0,10,0.0,1.0
meta-llama/llama-3.1-405b-instruct,Emotion,0,0,10,0.0,1.0
meta-llama/llama-3.1-405b-instruct,Expert,0,1,9,-10.0,1.0
meta-llama/llama-3.1-405b-instruct,Fear,0,1,9,-10.0,1.0
meta-llama/llama-3.1-405b-instruct,Incentive,0,1,9,-10.0,1.0
meta-llama/llama-3.1-405b-instruct,Polite,0,0,10,0.0,1.0
meta-llama/llama-3.1-405b-instruct,Praise,0,0,10,0.0,1.0
meta-llama/llama-3.1-405b-instruct,Reasoning,1,1,8,0.0,1.0
meta-llama/llama-3.1-405b-instruct,Shaming,0,0,10,0.0,1.0
meta-llama/llama-3.2-1b-instruct,Bullying,0,0,10,0.0,1.0
meta-llama/llama-3.2-1b-instruct,Curious,0,0,10,0.0,1.0
meta-llama/llama-3.2-1b-instruct,Emotion,0,0,10,0.0,1.0
meta-llama/llama-3.2-1b-instruct,Expert,0,1,9,-10.0,1.0
meta-llama/llama-3.2-1b-instruct,Fear,0,1,9,-10.0,1.0
meta-llama/llama-3.2-1b-instruct,Incentive,0,1,9,-10.0,1.0
meta-llama/llama-3.2-1b-instruct,Polite,0,1,9,-10.0,1.0
meta-llama/llama-3.2-1b-instruct,Praise,0,1,9,-10.0,1.0
meta-llama/llama-3.2-1b-instruct,Reasoning,0,1,9,-10.0,1.0
meta-llama/llama-3.2-1b-instruct,Shaming,0,1,9,-10.0,1.0
meta-llama/llama-3.2-3b-instruct,Bullying,1,0,9,10.0,1.0
meta-llama/llama-3.2-3b-instruct,Curious,1,0,9,10.0,1.0
meta-llama/llama-3.2-3b-instruct,Emotion,1,0,9,10.0,1.0
meta-llama/llama-3.2-3b-instruct,Expert,0,0,10,0.0,1.0
meta-llama/llama-3.2-3b-instruct,Fear,0,1,9,-10.0,1.0
meta-llama/llama-3.2-3b-instruct,Incentive,0,0,10,0.0,1.0
meta-llama/llama-3.2-3b-instruct,Polite,1,0,9,10.0,1.0
meta-llama/llama-3.2-3b-instruct,Praise,1,1,8,0.0,1.0
meta-llama/llama-3.2-3b-instruct,Reasoning,0,0,10,0.0,1.0
meta-llama/llama-3.2-3b-instruct,Shaming,0,0,10,0.0,1.0
meta-llama/llama-3.3-70b-instruct,Bullying,0,0,10,0.0,1.0
meta-llama/llama-3.3-70b-instruct,Curious,0,1,9,-10.0,1.0
meta-llama/llama-3.3-70b-instruct,Emotion,0,1,9,-10.0,1.0
meta-llama/llama-3.3-70b-instruct,Expert,0,1,9,-10.0,1.0
meta-llama/llama-3.3-70b-instruct,Fear,1,1,8,0.0,1.0
meta-llama/llama-3.3-70b-instruct,Incentive,0,0,10,0.0,1.0
meta-llama/llama-3.3-70b-instruct,Polite,0,1,9,-10.0,1.0
meta-llama/llama-3.3-70b-instruct,Praise,0,0,10,0.0,1.0
meta-llama/llama-3.3-70b-instruct,Reasoning,0,0,10,0.0,1.0
meta-llama/llama-3.3-70b-instruct,Shaming,0,1,9,-10.0,1.0
meta-llama/llama-4-maverick,Bullying,1,0,9,10.0,1.0
meta-llama/llama-4-maverick,Curious,1,1,8,0.0,1.0
meta-llama/llama-4-maverick,Emotion,1,2,7,-10.0,1.0
meta-llama/llama-4-maverick,Expert,1,2,7,-10.0,1.0
meta-llama/llama-4-maverick,Fear,2,1,7,10.0,1.0
meta-llama/llama-4-maverick,Incentive,1,1,8,0.0,1.0
meta-llama/llama-4-maverick,Polite,1,1,8,0.0,1.0
meta-llama/llama-4-maverick,Praise,1,2,7,-10.0,1.0
meta-llama/llama-4-maverick,Reasoning,1,0,9,10.0,1.0
meta-llama/llama-4-maverick,Shaming,1,1,8,0.0,1.0
meta-llama/llama-4-scout,Bullying,0,1,9,-10.0,1.0
meta-llama/llama-4-scout,Curious,0,0,10,0.0,1.0
meta-llama/llama-4-scout,Emotion,0,2,8,-20.0,0.5
meta-llama/llama-4-scout,Expert,0,1,9,-10.0,1.0
meta-llama/llama-4-scout,Fear,0,1,9,-10.0,1.0
meta-llama/llama-4-scout,Incentive,0,2,8,-20.0,0.5
meta-llama/llama-4-scout,Polite,0,1,9,-10.0,1.0
meta-llama/llama-4-scout,Praise,0,1,9,-10.0,1.0
meta-llama/llama-4-scout,Reasoning,1,0,9,10.0,1.0
meta-llama/llama-4-scout,Shaming,0,1,9,-10.0,1.0
openai/gpt-4.1,Bullying,1,0,9,10.0,1.0
openai/gpt-4.1,Curious,1,0,9,10.0,1.0
openai/gpt-4.1,Emotion,0,0,10,0.0,1.0
openai/gpt-4.1,Expert,0,0,10,0.0,1.0
openai/gpt-4.1,Fear,0,0,10,0.0,1.0
openai/gpt-4.1,Incentive,0,0,10,0.0,1.0
openai/gpt-4.1,Polite,1,0,9,10.0,1.0
openai/gpt-4.1,Praise,0,0,10,0.0,1.0
openai/gpt-4.1,Reasoning,0,0,10,0.0,1.0
openai/gpt-4.1,Shaming,0,0,10,0.0,1.0
openai/gpt-4.1-mini,Bullying,0,0,10,0.0,1.0
openai/gpt-4.1-mini,Curious,0,1,9,-10.0,1.0
openai/gpt-4.1-mini,Emotion,0,0,10,0.0,1.0
openai/gpt-4.1-mini,Expert,0,1,9,-10.0,1.0
openai/gpt-4.1-mini,Fear,0,0,10,0.0,1.0
openai/gpt-4.1-mini,Incentive,0,1,9,-10.0,1.0
openai/gpt-4.1-mini,Polite,0,1,9,-10.0,1.0
openai/gpt-4.1-mini,Praise,0,1,9,-10.0,1.0
openai/gpt-4.1-mini,Reasoning,2,1,7,10.0,1.0
openai/gpt-4.1-mini,Shaming,0,0,10,0.0,1.0
openai/gpt-4.1-nano,Bullying,0,0,10,0.0,1.0
openai/gpt-4.1-nano,Curious,0,0,10,0.0,1.0
openai/gpt-4.1-nano,Emotion,0,0,10,0.0,1.0
openai/gpt-4.1-nano,Expert,0,0,10,0.0,1.0
openai/gpt-4.1-nano,Fear,1,0,9,10.0,1.0
openai/gpt-4.1-nano,Incentive,0,0,10,0.0,1.0
openai/gpt-4.1-nano,Polite,0,0,10,0.0,1.0
openai/gpt-4.1-nano,Praise,0,0,10,0.0,1.0
openai/gpt-4.1-nano,Reasoning,2,0,8,20.0,0.5
openai/gpt-4.1-nano,Shaming,0,0,10,0.0,1.0
openai/gpt-4.5-preview,Bullying,0,0,10,0.0,1.0
openai/gpt-4.5-preview,Curious,0,0,10,0.0,1.0
openai/gpt-4.5-preview,Emotion,0,0,10,0.0,1.0
openai/gpt-4.5-preview,Expert,0,1,9,-10.0,1.0
openai/gpt-4.5-preview,Fear,0,0,10,0.0,1.0
openai/gpt-4.5-preview,Incentive,0,0,10,0.0,1.0
openai/gpt-4.5-preview,Polite,0,1,9,-10.0,1.0
openai/gpt-4.5-preview,Praise,0,0,10,0.0,1.0
openai/gpt-4.5-preview,Reasoning,0,1,9,-10.0,1.0
openai/gpt-4.5-preview,Shaming,0,0,10,0.0,1.0
openai/gpt-4o-mini,Bullying,0,0,10,0.0,1.0
openai/gpt-4o-mini,Curious,0,0,10,0.0,1.0
openai/gpt-4o-mini,Emotion,0,0,10,0.0,1.0
openai/gpt-4o-mini,Expert,2,0,8,20.0,0.5
openai/gpt-4o-mini,Fear,0,0,10,0.0,1.0
openai/gpt-4o-mini,Incentive,0,0,10,0.0,1.0
openai/gpt-4o-mini,Polite,0,0,10,0.0,1.0
openai/gpt-4o-mini,Praise,0,0,10,0.0,1.0
openai/gpt-4o-mini,Reasoning,3,0,7,30.0,0.25
openai/gpt-4o-mini,Shaming,0,0,10,0.0,1.0
openai:o3,Bullying,0,0,10,0.0,1.0
openai:o3,Curious,0,0,10,0.0,1.0
openai:o3,Emotion,0,0,10,0.0,1.0
openai:o3,Expert,0,0,10,0.0,1.0
openai:o3,Fear,0,0,10,0.0,1.0
openai:o3,Incentive,0,0,10,0.0,1.0
openai:o3,Polite,0,0,10,0.0,1.0
openai:o3,Praise,0,0,10,0.0,1.0
openai:o3,Reasoning,0,0,10,0.0,1.0
openai:o3,Shaming,0,0,10,0.0,1.0
openrouter:openai/o3-mini,Bullying,0,1,9,-10.0,1.0
openrouter:openai/o3-mini,Curious,0,1,9,-10.0,1.0
openrouter:openai/o3-mini,Emotion,1,1,8,0.0,1.0
openrouter:openai/o3-mini,Expert,0,1,9,-10.0,1.0
openrouter:openai/o3-mini,Fear,1,1,8,0.0,1.0
openrouter:openai/o3-mini,Incentive,0,0,10,0.0,1.0
openrouter:openai/o3-mini,Polite,0,1,9,-10.0,1.0
openrouter:openai/o3-mini,Praise,1,1,8,0.0,1.0
openrouter:openai/o3-mini,Reasoning,0,1,9,-10.0,1.0
openrouter:openai/o3-mini,Shaming,1,1,8,0.0,1.0
openrouter:openai/o3-mini-high,Bullying,1,0,9,10.0,1.0
openrouter:openai/o3-mini-high,Curious,0,0,10,0.0,1.0
openrouter:openai/o3-mini-high,Emotion,1,0,9,10.0,1.0
openrouter:openai/o3-mini-high,Expert,1,0,9,10.0,1.0
openrouter:openai/o3-mini-high,Fear,0,0,10,0.0,1.0
openrouter:openai/o3-mini-high,Incentive,2,0,8,20.0,0.5
openrouter:openai/o3-mini-high,Polite,0,0,10,0.0,1.0
openrouter:openai/o3-mini-high,Praise,0,0,10,0.0,1.0
openrouter:openai/o3-mini-high,Reasoning,3,0,7,30.0,0.25
openrouter:openai/o3-mini-high,Shaming,0,0,10,0.0,1.0
openrouter:openai/o4-mini,Bullying,0,1,9,-10.0,1.0
openrouter:openai/o4-mini,Curious,1,0,9,10.0,1.0
openrouter:openai/o4-mini,Emotion,0,0,10,0.0,1.0
openrouter:openai/o4-mini,Expert,0,0,10,0.0,1.0
openrouter:openai/o4-mini,Fear,0,1,9,-10.0,1.0
openrouter:openai/o4-mini,Incentive,0,0,10,0.0,1.0
openrouter:openai/o4-mini,Polite,0,0,10,0.0,1.0
openrouter:openai/o4-mini,Praise,1,1,8,0.0,1.0
openrouter:openai/o4-mini,Reasoning,0,0,10,0.0,1.0
openrouter:openai/o4-mini,Shaming,0,1,9,-10.0,1.0
openrouter:openai/o4-mini-high,Bullying,0,0,10,0.0,1.0
openrouter:openai/o4-mini-high,Curious,1,0,9,10.0,1.0
openrouter:openai/o4-mini-high,Emotion,1,0,9,10.0,1.0
openrouter:openai/o4-mini-high,Expert,3,0,7,30.0,0.25
openrouter:openai/o4-mini-high,Fear,0,0,10,0.0,1.0
openrouter:openai/o4-mini-high,Incentive,1,0,9,10.0,1.0
openrouter:openai/o4-mini-high,Polite,2,0,8,20.0,0.5
openrouter:openai/o4-mini-high,Praise,0,0,10,0.0,1.0
openrouter:openai/o4-mini-high,Reasoning,1,0,9,10.0,1.0
openrouter:openai/o4-mini-high,Shaming,0,0,10,0.0,1.0
x-ai/grok-3-beta,Bullying,1,2,7,-10.0,1.0
x-ai/grok-3-beta,Curious,1,2,7,-10.0,1.0
x-ai/grok-3-beta,Emotion,0,2,8,-20.0,0.5
x-ai/grok-3-beta,Expert,1,2,7,-10.0,1.0
x-ai/grok-3-beta,Fear,0,1,9,-10.0,1.0
x-ai/grok-3-beta,Incentive,1,1,8,0.0,1.0
x-ai/grok-3-beta,Polite,0,2,8,-20.0,0.5
x-ai/grok-3-beta,Praise,1,2,7,-10.0,1.0
x-ai/grok-3-beta,Reasoning,1,2,7,-10.0,1.0
x-ai/grok-3-beta,Shaming,1,2,7,-10.0,1.0
x-ai/grok-3-mini-beta,Bullying,0,0,10,0.0,1.0
x-ai/grok-3-mini-beta,Curious,0,0,10,0.0,1.0
x-ai/grok-3-mini-beta,Emotion,0,0,10,0.0,1.0
x-ai/grok-3-mini-beta,Expert,0,1,9,-10.0,1.0
x-ai/grok-3-mini-beta,Fear,0,1,9,-10.0,1.0
x-ai/grok-3-mini-beta,Incentive,0,0,10,0.0,1.0
x-ai/grok-3-mini-beta,Polite,1,0,9,10.0,1.0
x-ai/grok-3-mini-beta,Praise,1,0,9,10.0,1.0
x-ai/grok-3-mini-beta,Reasoning,0,0,10,0.0,1.0
x-ai/grok-3-mini-beta,Shaming,0,0,10,0.0,1.0
